Date,Amount,Description,Category,Method of purchase
1-1-19,$1000.00,rent,rent,check
1-7-19,$170.00,book,gifts,smiles
1-11-19,$146.00,antifreeze,rent,cash
1-24-19,$154.00,car,gifts,cash
1-25-19,$31.00,blanket,gifts,smiles
2-1-19,$1000.00,rent,rent,check
2-7-19,$101.00,hat,food,cash
2-15-19,$87.00,confetti,gifts,smiles
2-16-19,$101.00,bills,car,check
2-26-19,$102.00,groceries,rent,smiles
3-1-19,$1000.00,rent,rent,smiles
3-4-19,$196.00,bills,rent,card
3-6-19,$198.00,blanket,food,card
3-7-19,$46.00,hat,gifts,smiles
3-26-19,$138.00,gas,misc,check
4-1-19,$1000.00,rent,rent,check
4-8-19,$69.00,blanket,gifts,check
4-8-19,$162.00,car,misc,card
4-14-19,$42.00,hat,gifts,card
4-18-19,$68.00,hat,food,card
4-19-19,$82.00,book,food,smiles
4-23-19,$144.00,antifreeze,rent,smiles
5-1-19,$1000.00,rent,rent,check
5-4-19,$75.00,confetti,food,check
5-14-19,$43.00,blanket,misc,card
5-17-19,$168.00,car,gifts,cash
5-20-19,$80.00,hat,car,card
5-26-19,$85.00,gas,misc,smiles
5-27-19,$50.00,groceries,rent,smiles
6-1-19,$1000.00,rent,rent,check
6-2-19,$176.00,gas,car,check
6-2-19,$29.00,hat,food,check
6-3-19,$45.00,car,misc,cash
6-8-19,$72.00,book,misc,card
6-13-19,$107.00,confetti,gifts,card
6-14-19,$33.00,book,misc,card
6-21-19,$118.00,gas,gifts,check
6-23-19,$193.00,car,gifts,check
6-26-19,$64.00,hat,car,cash
6-27-19,$96.00,groceries,misc,cash
7-1-19,$1000.00,rent,rent,card
7-5-19,$85.00,confetti,food,check
7-11-19,$140.00,antifreeze,car,cash
7-14-19,$59.00,confetti,food,cash
7-15-19,$161.00,car,rent,smiles
7-18-19,$34.00,confetti,rent,smiles
7-19-19,$159.00,blanket,food,cash
7-20-19,$113.00,gas,food,check
7-22-19,$53.00,groceries,rent,check
7-23-19,$107.00,car,gifts,smiles
7-23-19,$68.00,confetti,misc,cash
8-1-19,$1000.00,rent,rent,check
8-3-19,$93.00,confetti,rent,card
8-3-19,$68.00,gas,rent,card
8-8-19,$29.00,gas,rent,smiles
8-10-19,$145.00,antifreeze,food,card
8-16-19,$101.00,gas,car,cash
8-18-19,$86.00,confetti,food,smiles
8-23-19,$100.00,gas,gifts,cash
8-23-19,$75.00,groceries,car,check
8-24-19,$183.00,blanket,gifts,smiles
8-24-19,$196.00,car,car,smiles
9-1-19,$1000.00,rent,rent,card
9-8-19,$164.00,hat,gifts,cash
9-9-19,$24.00,book,gifts,cash
9-9-19,$29.00,antifreeze,car,check
9-16-19,$124.00,book,rent,cash
9-17-19,$175.00,gas,misc,check
9-20-19,$105.00,antifreeze,gifts,smiles
9-23-19,$149.00,antifreeze,gifts,check
9-23-19,$107.00,car,rent,smiles
9-23-19,$7.00,car,misc,card
9-25-19,$116.00,gas,food,check
9-27-19,$179.00,hat,misc,smiles
10-1-19,$1000.00,rent,rent,smiles
10-4-19,$191.00,gas,food,cash
10-6-19,$64.00,bills,rent,card
10-7-19,$18.00,blanket,food,card
10-19-19,$14.00,confetti,car,check
10-19-19,$200.00,confetti,gifts,check
10-21-19,$175.00,bills,rent,cash
10-23-19,$118.00,book,food,check
11-1-19,$1000.00,rent,rent,card
11-3-19,$108.00,bills,misc,smiles
11-4-19,$168.00,bills,rent,card
11-5-19,$158.00,blanket,car,cash
11-8-19,$10.00,antifreeze,car,smiles
11-9-19,$143.00,gas,rent,cash
11-16-19,$27.00,bills,misc,card
11-19-19,$50.00,blanket,gifts,smiles
11-24-19,$122.00,antifreeze,misc,check
11-26-19,$8.00,gas,gifts,card
12-1-19,$1000.00,rent,rent,check
12-2-19,$91.00,book,food,smiles
12-5-19,$30.00,antifreeze,car,cash
12-6-19,$69.00,groceries,rent,check
12-6-19,$85.00,bills,food,card
12-7-19,$16.00,hat,car,cash
12-15-19,$178.00,hat,gifts,card
12-16-19,$121.00,antifreeze,car,smiles
12-18-19,$153.00,bills,car,cash
12-22-19,$181.00,car,gifts,smiles
