Date,Amount,Description,Category
1-11-20,$2815.00,work,work
2-11-20,$2080.00,work,work
3-1-20,$175.00,work,work
3-8-20,$141.00,gift,other
3-11-20,$2979.00,work,work
3-28-20,$238.00,refund,work
4-9-20,$290.00,gift,work
4-11-20,$2531.00,work,work
5-9-20,$222.00,refund,work
5-11-20,$2053.00,work,work
6-11-20,$2722.00,work,work
6-21-20,$69.00,work,work
6-22-20,$213.00,gift,other
6-27-20,$65.00,work,other
7-1-20,$243.00,refund,other
7-8-20,$107.00,work,work
7-9-20,$114.00,gift,other
7-11-20,$2229.00,work,work
7-13-20,$84.00,work,other
7-28-20,$244.00,work,other
8-10-20,$228.00,gift,other
8-11-20,$2614.00,work,work
8-17-20,$240.00,gift,other
9-11-20,$2235.00,work,work
9-22-20,$87.00,gift,other
10-4-20,$110.00,refund,other
10-11-20,$2889.00,work,work
11-10-20,$109.00,gift,work
11-10-20,$238.00,refund,work
11-11-20,$2611.00,work,work
11-23-20,$151.00,work,work
12-11-20,$2866.00,work,work
