Date,Amount,Change Amount,Description,Category
09-20-2020,0.00,0.00,Init,Init09-20-2020,-1000.00,-1000.00,rent for 1-1-18,spent
09-20-2020,2451.00,2451.00,work for 1-11-18,received
09-20-2020,1451.00,-1000.00,rent for 2-1-18,spent
09-20-2020,3684.00,2233.00,work for 2-11-18,received
09-20-2020,2684.00,-1000.00,rent for 3-1-18,spent
09-20-2020,4830.00,2146.00,work for 3-11-18,received
09-20-2020,3830.00,-1000.00,rent for 4-1-18,spent
09-20-2020,6501.00,2671.00,work for 4-11-18,received
09-20-2020,5501.00,-1000.00,rent for 5-1-18,spent
09-20-2020,8246.00,2745.00,work for 5-11-18,received
09-20-2020,7246.00,-1000.00,rent for 6-1-18,spent
09-20-2020,10047.00,2801.00,work for 6-11-18,received
09-20-2020,9047.00,-1000.00,rent for 7-1-18,spent
09-20-2020,11744.00,2697.00,work for 7-11-18,received
09-20-2020,10744.00,-1000.00,rent for 8-1-18,spent
09-20-2020,13635.00,2891.00,work for 8-11-18,received
09-20-2020,12635.00,-1000.00,rent for 9-1-18,spent
09-20-2020,15028.00,2393.00,work for 9-11-18,received
09-20-2020,14028.00,-1000.00,rent for 10-1-18,spent
09-20-2020,16352.00,2324.00,work for 10-11-18,received
09-20-2020,15352.00,-1000.00,rent for 11-1-18,spent
09-20-2020,18233.00,2881.00,work for 11-11-18,received
09-20-2020,17233.00,-1000.00,rent for 12-1-18,spent
09-20-2020,19496.00,2263.00,work for 12-11-18,received
09-20-2020,19361.00,-135.00,confetti for 11-18-18,spent
09-20-2020,19274.00,-87.00,book for 1-16-18,spent
09-20-2020,19179.00,-95.00,hat for 5-12-18,spent
09-20-2020,19163.00,-16.00,blanket for 5-25-18,spent
09-20-2020,19105.00,-58.00,blanket for 9-10-18,spent
09-20-2020,19069.00,-36.00,groceries for 12-14-18,spent
09-20-2020,18916.00,-153.00,bills for 5-26-18,spent
09-20-2020,18836.00,-80.00,bills for 1-25-18,spent
09-20-2020,18795.00,-41.00,bills for 6-15-18,spent
09-20-2020,18668.00,-127.00,hat for 1-11-18,spent
09-20-2020,18648.00,-20.00,car for 8-21-18,spent
09-20-2020,18462.00,-186.00,hat for 10-5-18,spent
09-20-2020,18332.00,-130.00,blanket for 2-18-18,spent
09-20-2020,18281.00,-51.00,book for 3-12-18,spent
09-20-2020,18168.00,-113.00,bills for 9-2-18,spent
09-20-2020,18105.00,-63.00,book for 3-15-18,spent
09-20-2020,18025.00,-80.00,antifreeze for 10-5-18,spent
09-20-2020,17842.00,-183.00,bills for 3-5-18,spent
09-20-2020,17818.00,-24.00,bills for 12-4-18,spent
09-20-2020,17761.00,-57.00,antifreeze for 10-4-18,spent
09-20-2020,17675.00,-86.00,book for 2-16-18,spent
09-20-2020,17559.00,-116.00,blanket for 9-15-18,spent
09-20-2020,17421.00,-138.00,blanket for 12-3-18,spent
09-20-2020,17301.00,-120.00,antifreeze for 7-4-18,spent
09-20-2020,17104.00,-197.00,book for 10-17-18,spent
09-20-2020,16953.00,-151.00,bills for 1-7-18,spent
09-20-2020,16867.00,-86.00,hat for 7-18-18,spent
09-20-2020,16769.00,-98.00,antifreeze for 2-28-18,spent
09-20-2020,16726.00,-43.00,groceries for 9-13-18,spent
09-20-2020,16705.00,-21.00,groceries for 12-5-18,spent
09-20-2020,16688.00,-17.00,book for 10-2-18,spent
09-20-2020,16627.00,-61.00,blanket for 3-21-18,spent
09-20-2020,16608.00,-19.00,groceries for 7-24-18,spent
09-20-2020,16569.00,-39.00,gas for 10-13-18,spent
09-20-2020,16553.00,-16.00,gas for 12-26-18,spent
09-20-2020,16430.00,-123.00,confetti for 5-18-18,spent
09-20-2020,16344.00,-86.00,car for 5-23-18,spent
09-20-2020,16178.00,-166.00,book for 2-25-18,spent
09-20-2020,16135.00,-43.00,groceries for 7-5-18,spent
09-20-2020,16118.00,-17.00,bills for 5-24-18,spent
09-20-2020,15950.00,-168.00,car for 11-2-18,spent
09-20-2020,15938.00,-12.00,car for 1-22-18,spent
09-20-2020,15824.00,-114.00,blanket for 8-16-18,spent
09-20-2020,15649.00,-175.00,car for 4-19-18,spent
09-20-2020,15608.00,-41.00,groceries for 6-7-18,spent
09-20-2020,15527.00,-81.00,gas for 4-11-18,spent
09-20-2020,15477.00,-50.00,hat for 5-13-18,spent
09-20-2020,15454.00,-23.00,car for 10-20-18,spent
09-20-2020,15323.00,-131.00,gas for 2-25-18,spent
09-20-2020,15218.00,-105.00,antifreeze for 3-10-18,spent
09-20-2020,15078.00,-140.00,car for 2-19-18,spent
09-20-2020,14883.00,-195.00,car for 1-9-18,spent
09-20-2020,14758.00,-125.00,confetti for 1-26-18,spent
09-20-2020,14651.00,-107.00,book for 11-28-18,spent
09-20-2020,14597.00,-54.00,bills for 3-9-18,spent
09-20-2020,14589.00,-8.00,antifreeze for 11-4-18,spent
09-20-2020,14493.00,-96.00,gas for 3-20-18,spent
09-20-2020,14467.00,-26.00,hat for 4-14-18,spent
09-20-2020,14462.00,-5.00,confetti for 2-27-18,spent
09-20-2020,14428.00,-34.00,confetti for 3-10-18,spent
09-20-2020,14355.00,-73.00,confetti for 5-5-18,spent
09-20-2020,14210.00,-145.00,hat for 8-28-18,spent
09-20-2020,14080.00,-130.00,gas for 8-24-18,spent
09-20-2020,13899.00,-181.00,book for 6-23-18,spent
09-20-2020,13700.00,-199.00,car for 8-22-18,spent
09-20-2020,13614.00,-86.00,blanket for 6-2-18,spent
09-20-2020,13452.00,-162.00,book for 5-9-18,spent
09-20-2020,13439.00,-13.00,book for 6-8-18,spent
09-20-2020,13376.00,-63.00,confetti for 5-7-18,spent
09-20-2020,13288.00,-88.00,antifreeze for 3-10-18,spent
09-20-2020,13204.00,-84.00,blanket for 4-26-18,spent
09-20-2020,13182.00,-22.00,antifreeze for 7-16-18,spent
09-20-2020,13085.00,-97.00,hat for 9-20-18,spent
09-20-2020,13067.00,-18.00,gas for 3-7-18,spent
09-20-2020,12998.00,-69.00,book for 5-14-18,spent
09-20-2020,12823.00,-175.00,antifreeze for 5-14-18,spent
09-20-2020,12667.00,-156.00,car for 5-6-18,spent
09-20-2020,12587.00,-80.00,car for 11-6-18,spent
09-20-2020,12516.00,-71.00,car for 7-14-18,spent
09-20-2020,12391.00,-125.00,antifreeze for 10-6-18,spent
09-20-2020,12215.00,-176.00,gas for 5-4-18,spent
09-20-2020,12135.00,-80.00,confetti for 12-23-18,spent
09-20-2020,12046.00,-89.00,book for 10-13-18,spent
09-20-2020,12015.00,-31.00,car for 1-10-18,spent
09-20-2020,11839.00,-176.00,confetti for 6-19-18,spent
09-20-2020,11706.00,-133.00,gas for 1-27-18,spent
09-20-2020,11656.00,-50.00,antifreeze for 9-11-18,spent
09-20-2020,11510.00,-146.00,blanket for 2-23-18,spent
09-20-2020,11486.00,-24.00,car for 5-6-18,spent
09-20-2020,11310.00,-176.00,car for 4-22-18,spent
09-20-2020,11568.00,258.00,gift for 5-6-18,received
09-20-2020,11834.00,266.00,gift for 5-14-18,received
09-20-2020,11899.00,65.00,refund for 1-4-18,received
09-20-2020,12053.00,154.00,gift for 9-3-18,received
09-20-2020,12155.00,102.00,work for 4-3-18,received
09-20-2020,12366.00,211.00,refund for 9-18-18,received
09-20-2020,12513.00,147.00,refund for 12-11-18,received
09-20-2020,12563.00,50.00,gift for 6-1-18,received
09-20-2020,12711.00,148.00,gift for 1-9-18,received
09-20-2020,12866.00,155.00,refund for 10-10-18,received
09-20-2020,13152.00,286.00,refund for 10-4-18,received
09-20-2020,13255.00,103.00,work for 1-23-18,received
