Date Recorded,Date,Amount,Description,Category,(method of purchase)
09-20-2020,1-1-18,$1000.00,rent,rent,card
09-20-2020,1-11-18,$2451.00,work,work
09-20-2020,2-1-18,$1000.00,rent,rent,check
09-20-2020,2-11-18,$2233.00,work,work
09-20-2020,3-1-18,$1000.00,rent,rent,smiles
09-20-2020,3-11-18,$2146.00,work,work
09-20-2020,4-1-18,$1000.00,rent,rent,card
09-20-2020,4-11-18,$2671.00,work,work
09-20-2020,5-1-18,$1000.00,rent,rent,cash
09-20-2020,5-11-18,$2745.00,work,work
09-20-2020,6-1-18,$1000.00,rent,rent,check
09-20-2020,6-11-18,$2801.00,work,work
09-20-2020,7-1-18,$1000.00,rent,rent,check
09-20-2020,7-11-18,$2697.00,work,work
09-20-2020,8-1-18,$1000.00,rent,rent,check
09-20-2020,8-11-18,$2891.00,work,work
09-20-2020,9-1-18,$1000.00,rent,rent,smiles
09-20-2020,9-11-18,$2393.00,work,work
09-20-2020,10-1-18,$1000.00,rent,rent,card
09-20-2020,10-11-18,$2324.00,work,work
09-20-2020,11-1-18,$1000.00,rent,rent,card
09-20-2020,11-11-18,$2881.00,work,work
09-20-2020,12-1-18,$1000.00,rent,rent,card
09-20-2020,12-11-18,$2263.00,work,work
09-20-2020,11-18-18,$135.00,confetti,gifts,cash
09-20-2020,1-16-18,$87.00,book,rent,smiles
09-20-2020,5-12-18,$95.00,hat,misc,check
09-20-2020,5-25-18,$16.00,blanket,rent,smiles
09-20-2020,9-10-18,$58.00,blanket,misc,check
09-20-2020,12-14-18,$36.00,groceries,misc,smiles
09-20-2020,5-26-18,$153.00,bills,food,check
09-20-2020,1-25-18,$80.00,bills,gifts,card
09-20-2020,6-15-18,$41.00,bills,food,cash
09-20-2020,1-11-18,$127.00,hat,gifts,check
09-20-2020,8-21-18,$20.00,car,misc,smiles
09-20-2020,10-5-18,$186.00,hat,food,card
09-20-2020,2-18-18,$130.00,blanket,gifts,smiles
09-20-2020,3-12-18,$51.00,book,gifts,smiles
09-20-2020,9-2-18,$113.00,bills,gifts,card
09-20-2020,3-15-18,$63.00,book,misc,check
09-20-2020,10-5-18,$80.00,antifreeze,food,cash
09-20-2020,3-5-18,$183.00,bills,food,check
09-20-2020,12-4-18,$24.00,bills,rent,card
09-20-2020,10-4-18,$57.00,antifreeze,misc,check
09-20-2020,2-16-18,$86.00,book,food,check
09-20-2020,9-15-18,$116.00,blanket,food,card
09-20-2020,12-3-18,$138.00,blanket,car,card
09-20-2020,7-4-18,$120.00,antifreeze,rent,smiles
09-20-2020,10-17-18,$197.00,book,food,smiles
09-20-2020,1-7-18,$151.00,bills,food,check
09-20-2020,7-18-18,$86.00,hat,misc,card
09-20-2020,2-28-18,$98.00,antifreeze,misc,card
09-20-2020,9-13-18,$43.00,groceries,gifts,card
