Date,Amount,Description,Category,Method of purchase
2-1-18,$1000.00,rent,rent,check
2-16-18,$86.00,book,food,check
2-18-18,$130.00,blanket,gifts,smiles
2-19-18,$140.00,car,gifts,smiles
2-23-18,$146.00,blanket,gifts,card
2-25-18,$166.00,book,rent,smiles
2-25-18,$131.00,gas,rent,check
2-27-18,$5.00,confetti,car,smiles
2-28-18,$98.00,antifreeze,misc,card
3-1-18,$1000.00,rent,rent,smiles
3-5-18,$183.00,bills,food,check
3-7-18,$18.00,gas,gifts,card
3-9-18,$54.00,bills,rent,cash
3-10-18,$105.00,antifreeze,misc,cash
3-10-18,$34.00,confetti,gifts,check
3-10-18,$88.00,antifreeze,rent,smiles
3-12-18,$51.00,book,gifts,smiles
3-15-18,$63.00,book,misc,check
3-20-18,$96.00,gas,food,check
3-21-18,$61.00,blanket,car,card
4-1-18,$1000.00,rent,rent,card
4-11-18,$81.00,gas,gifts,check
4-14-18,$26.00,hat,gifts,check
4-19-18,$175.00,car,gifts,cash
4-22-18,$176.00,car,misc,cash
4-26-18,$84.00,blanket,gifts,smiles
5-1-18,$1000.00,rent,rent,cash
5-4-18,$176.00,gas,food,cash
5-5-18,$73.00,confetti,gifts,card
5-6-18,$156.00,car,rent,smiles
5-6-18,$24.00,car,misc,check
5-7-18,$63.00,confetti,gifts,check
5-9-18,$162.00,book,food,cash
5-12-18,$95.00,hat,misc,check
5-13-18,$50.00,hat,misc,smiles
5-14-18,$69.00,book,food,cash
5-14-18,$175.00,antifreeze,gifts,card
5-18-18,$123.00,confetti,rent,cash
5-23-18,$86.00,car,rent,cash
5-24-18,$17.00,bills,food,check
5-25-18,$16.00,blanket,rent,smiles
5-26-18,$153.00,bills,food,check
6-1-18,$1000.00,rent,rent,check
6-2-18,$86.00,blanket,misc,smiles
6-7-18,$41.00,groceries,food,card
6-8-18,$13.00,book,gifts,card
6-15-18,$41.00,bills,food,cash
6-19-18,$176.00,confetti,food,cash
6-23-18,$181.00,book,gifts,check
7-1-18,$1000.00,rent,rent,check
7-4-18,$120.00,antifreeze,rent,smiles
7-5-18,$43.00,groceries,car,smiles
7-14-18,$71.00,car,car,smiles
7-16-18,$22.00,antifreeze,misc,card
7-18-18,$86.00,hat,misc,card
7-24-18,$19.00,groceries,misc,card
8-1-18,$1000.00,rent,rent,check
8-16-18,$114.00,blanket,rent,card
8-21-18,$20.00,car,misc,smiles
8-22-18,$199.00,car,misc,smiles
8-24-18,$130.00,gas,rent,cash
8-28-18,$145.00,hat,car,card
9-1-18,$1000.00,rent,rent,smiles
9-2-18,$113.00,bills,gifts,card
9-10-18,$58.00,blanket,misc,check
9-11-18,$50.00,antifreeze,gifts,card
9-13-18,$43.00,groceries,gifts,card
9-15-18,$116.00,blanket,food,card
9-20-18,$97.00,hat,misc,check
10-1-18,$1000.00,rent,rent,card
10-2-18,$17.00,book,rent,cash
10-4-18,$57.00,antifreeze,misc,check
10-5-18,$186.00,hat,food,card
10-5-18,$80.00,antifreeze,food,cash
10-6-18,$125.00,antifreeze,car,cash
10-13-18,$39.00,gas,food,check
10-13-18,$89.00,book,misc,card
10-17-18,$197.00,book,food,smiles
10-20-18,$23.00,car,gifts,check
11-1-18,$1000.00,rent,rent,card
11-2-18,$168.00,car,food,smiles
11-4-18,$8.00,antifreeze,misc,smiles
11-6-18,$80.00,car,food,cash
11-18-18,$135.00,confetti,gifts,cash
11-28-18,$107.00,book,food,smiles
12-1-18,$1000.00,rent,rent,card
1-16-18,$87.00,book,rent,smiles
1-22-18,$12.00,car,gifts,check
1-25-18,$80.00,bills,gifts,card
1-11-18,$127.00,hat,gifts,check
1-7-18,$151.00,bills,food,check
1-9-18,$195.00,car,gifts,cash
1-10-18,$31.00,car,food,check
1-26-18,$125.00,confetti,food,check
1-27-18,$133.00,gas,rent,check
12-3-18,$138.00,blanket,car,card
12-4-18,$24.00,bills,rent,card
12-5-18,$21.00,groceries,gifts,cash
12-14-18,$36.00,groceries,misc,smiles
12-23-18,$80.00,confetti,food,card
12-26-18,$16.00,gas,car,check
