Date,Amount,Description,Category,Method of purchase
1-1-18,$1000.00,rent,rent,card
1-7-18,$151.00,bills,food,check
1-9-18,$195.00,car,gifts,cash
1-10-18,$31.00,car,food,check
1-11-18,$127.00,hat,gifts,check
1-16-18,$87.00,book,rent,smiles
1-22-18,$12.00,car,gifts,check
1-25-18,$80.00,bills,gifts,card
1-26-18,$125.00,confetti,food,check
1-27-18,$133.00,gas,rent,check
2-1-18,$1000.00,rent,rent,check
2-16-18,$86.00,book,food,check
2-18-18,$130.00,blanket,gifts,smiles
2-19-18,$140.00,car,gifts,smiles
2-23-18,$146.00,blanket,gifts,card
2-25-18,$166.00,book,rent,smiles
2-25-18,$131.00,gas,rent,check
2-27-18,$5.00,confetti,car,smiles
2-28-18,$98.00,antifreeze,misc,card
3-1-18,$1000.00,rent,rent,smiles
3-5-18,$183.00,bills,food,check
3-7-18,$18.00,gas,gifts,card
3-9-18,$54.00,bills,rent,cash
3-10-18,$105.00,antifreeze,misc,cash
3-10-18,$34.00,confetti,gifts,check
3-10-18,$88.00,antifreeze,rent,smiles
3-12-18,$51.00,book,gifts,smiles
3-15-18,$63.00,book,misc,check
3-20-18,$96.00,gas,food,check
3-21-18,$61.00,blanket,car,card
4-1-18,$1000.00,rent,rent,card
4-11-18,$81.00,gas,gifts,check
4-14-18,$26.00,hat,gifts,check
4-19-18,$175.00,car,gifts,cash
4-22-18,$176.00,car,misc,cash
4-26-18,$84.00,blanket,gifts,smiles
5-1-18,$1000.00,rent,rent,cash
5-4-18,$176.00,gas,food,cash
5-5-18,$73.00,confetti,gifts,card
5-6-18,$156.00,car,rent,smiles
5-6-18,$24.00,car,misc,check
5-7-18,$63.00,confetti,gifts,check
5-9-18,$162.00,book,food,cash
5-12-18,$95.00,hat,misc,check
5-13-18,$50.00,hat,misc,smiles
5-14-18,$69.00,book,food,cash
5-14-18,$175.00,antifreeze,gifts,card
5-18-18,$123.00,confetti,rent,cash
5-23-18,$86.00,car,rent,cash
5-24-18,$17.00,bills,food,check
5-25-18,$16.00,blanket,rent,smiles
5-26-18,$153.00,bills,food,check
6-1-18,$1000.00,rent,rent,check
6-2-18,$86.00,blanket,misc,smiles
6-7-18,$41.00,groceries,food,card
6-8-18,$13.00,book,gifts,card
6-15-18,$41.00,bills,food,cash
6-19-18,$176.00,confetti,food,cash
6-23-18,$181.00,book,gifts,check
7-1-18,$1000.00,rent,rent,check
7-4-18,$120.00,antifreeze,rent,smiles
7-5-18,$43.00,groceries,car,smiles
7-14-18,$71.00,car,car,smiles
7-16-18,$22.00,antifreeze,misc,card
7-18-18,$86.00,hat,misc,card
7-24-18,$19.00,groceries,misc,card
8-1-18,$1000.00,rent,rent,check
8-16-18,$114.00,blanket,rent,card
8-21-18,$20.00,car,misc,smiles
8-22-18,$199.00,car,misc,smiles
8-24-18,$130.00,gas,rent,cash
8-28-18,$145.00,hat,car,card
9-1-18,$1000.00,rent,rent,smiles
9-2-18,$113.00,bills,gifts,card
9-10-18,$58.00,blanket,misc,check
9-11-18,$50.00,antifreeze,gifts,card
9-13-18,$43.00,groceries,gifts,card
9-15-18,$116.00,blanket,food,card
9-20-18,$97.00,hat,misc,check
10-1-18,$1000.00,rent,rent,card
10-2-18,$17.00,book,rent,cash
10-4-18,$57.00,antifreeze,misc,check
10-5-18,$186.00,hat,food,card
10-5-18,$80.00,antifreeze,food,cash
10-6-18,$125.00,antifreeze,car,cash
10-13-18,$39.00,gas,food,check
10-13-18,$89.00,book,misc,card
10-17-18,$197.00,book,food,smiles
10-20-18,$23.00,car,gifts,check
11-1-18,$1000.00,rent,rent,card
11-2-18,$168.00,car,food,smiles
11-4-18,$8.00,antifreeze,misc,smiles
11-6-18,$80.00,car,food,cash
11-18-18,$135.00,confetti,gifts,cash
11-28-18,$107.00,book,food,smiles
12-1-18,$1000.00,rent,rent,card
12-3-18,$138.00,blanket,car,card
12-4-18,$24.00,bills,rent,card
12-5-18,$21.00,groceries,gifts,cash
12-14-18,$36.00,groceries,misc,smiles
12-23-18,$80.00,confetti,food,card
12-26-18,$16.00,gas,car,check
1-1-19,$1000.00,rent,rent,check
1-7-19,$170.00,book,gifts,smiles
1-11-19,$146.00,antifreeze,rent,cash
1-24-19,$154.00,car,gifts,cash
1-25-19,$31.00,blanket,gifts,smiles
2-1-19,$1000.00,rent,rent,check
2-7-19,$101.00,hat,food,cash
2-15-19,$87.00,confetti,gifts,smiles
2-16-19,$101.00,bills,car,check
2-26-19,$102.00,groceries,rent,smiles
3-1-19,$1000.00,rent,rent,smiles
3-4-19,$196.00,bills,rent,card
3-6-19,$198.00,blanket,food,card
3-7-19,$46.00,hat,gifts,smiles
3-26-19,$138.00,gas,misc,check
4-1-19,$1000.00,rent,rent,check
4-8-19,$69.00,blanket,gifts,check
4-8-19,$162.00,car,misc,card
4-14-19,$42.00,hat,gifts,card
4-18-19,$68.00,hat,food,card
4-19-19,$82.00,book,food,smiles
4-23-19,$144.00,antifreeze,rent,smiles
5-1-19,$1000.00,rent,rent,check
5-4-19,$75.00,confetti,food,check
5-14-19,$43.00,blanket,misc,card
5-17-19,$168.00,car,gifts,cash
5-20-19,$80.00,hat,car,card
5-26-19,$85.00,gas,misc,smiles
5-27-19,$50.00,groceries,rent,smiles
6-1-19,$1000.00,rent,rent,check
6-2-19,$176.00,gas,car,check
6-2-19,$29.00,hat,food,check
6-3-19,$45.00,car,misc,cash
6-8-19,$72.00,book,misc,card
6-13-19,$107.00,confetti,gifts,card
6-14-19,$33.00,book,misc,card
6-21-19,$118.00,gas,gifts,check
6-23-19,$193.00,car,gifts,check
6-26-19,$64.00,hat,car,cash
6-27-19,$96.00,groceries,misc,cash
7-1-19,$1000.00,rent,rent,card
7-5-19,$85.00,confetti,food,check
7-11-19,$140.00,antifreeze,car,cash
7-14-19,$59.00,confetti,food,cash
7-15-19,$161.00,car,rent,smiles
7-18-19,$34.00,confetti,rent,smiles
7-19-19,$159.00,blanket,food,cash
7-20-19,$113.00,gas,food,check
7-22-19,$53.00,groceries,rent,check
7-23-19,$107.00,car,gifts,smiles
7-23-19,$68.00,confetti,misc,cash
8-1-19,$1000.00,rent,rent,check
8-3-19,$93.00,confetti,rent,card
8-3-19,$68.00,gas,rent,card
8-8-19,$29.00,gas,rent,smiles
8-10-19,$145.00,antifreeze,food,card
8-16-19,$101.00,gas,car,cash
8-18-19,$86.00,confetti,food,smiles
8-23-19,$100.00,gas,gifts,cash
8-23-19,$75.00,groceries,car,check
8-24-19,$183.00,blanket,gifts,smiles
8-24-19,$196.00,car,car,smiles
9-1-19,$1000.00,rent,rent,card
9-8-19,$164.00,hat,gifts,cash
9-9-19,$24.00,book,gifts,cash
9-9-19,$29.00,antifreeze,car,check
9-16-19,$124.00,book,rent,cash
9-17-19,$175.00,gas,misc,check
9-20-19,$105.00,antifreeze,gifts,smiles
9-23-19,$149.00,antifreeze,gifts,check
9-23-19,$107.00,car,rent,smiles
9-23-19,$7.00,car,misc,card
9-25-19,$116.00,gas,food,check
9-27-19,$179.00,hat,misc,smiles
10-1-19,$1000.00,rent,rent,smiles
10-4-19,$191.00,gas,food,cash
10-6-19,$64.00,bills,rent,card
10-7-19,$18.00,blanket,food,card
10-19-19,$14.00,confetti,car,check
10-19-19,$200.00,confetti,gifts,check
10-21-19,$175.00,bills,rent,cash
10-23-19,$118.00,book,food,check
11-1-19,$1000.00,rent,rent,card
11-3-19,$108.00,bills,misc,smiles
11-4-19,$168.00,bills,rent,card
11-5-19,$158.00,blanket,car,cash
11-8-19,$10.00,antifreeze,car,smiles
11-9-19,$143.00,gas,rent,cash
11-16-19,$27.00,bills,misc,card
11-19-19,$50.00,blanket,gifts,smiles
11-24-19,$122.00,antifreeze,misc,check
11-26-19,$8.00,gas,gifts,card
12-1-19,$1000.00,rent,rent,check
12-2-19,$91.00,book,food,smiles
12-5-19,$30.00,antifreeze,car,cash
12-6-19,$69.00,groceries,rent,check
12-6-19,$85.00,bills,food,card
12-7-19,$16.00,hat,car,cash
12-15-19,$178.00,hat,gifts,card
12-16-19,$121.00,antifreeze,car,smiles
12-18-19,$153.00,bills,car,cash
12-22-19,$181.00,car,gifts,smiles
1-1-20,$1000.00,rent,rent,smiles
1-2-20,$73.00,gas,food,smiles
1-16-20,$199.00,bills,food,cash
1-17-20,$92.00,groceries,gifts,card
1-23-20,$187.00,confetti,rent,smiles
1-25-20,$162.00,book,food,cash
1-28-20,$75.00,antifreeze,food,card
2-1-20,$1000.00,rent,rent,card
2-3-20,$136.00,car,rent,smiles
2-4-20,$167.00,confetti,food,cash
2-7-20,$44.00,confetti,car,cash
2-8-20,$192.00,bills,rent,cash
2-10-20,$65.00,groceries,gifts,check
2-18-20,$186.00,hat,food,check
2-24-20,$112.00,car,misc,cash
3-1-20,$1000.00,rent,rent,smiles
3-2-20,$138.00,car,car,card
3-2-20,$97.00,car,misc,cash
3-3-20,$56.00,antifreeze,misc,smiles
3-14-20,$86.00,hat,food,card
3-17-20,$86.00,groceries,misc,smiles
3-17-20,$110.00,groceries,rent,check
3-18-20,$54.00,confetti,food,cash
3-18-20,$60.00,hat,rent,card
3-23-20,$151.00,confetti,gifts,check
4-1-20,$1000.00,rent,rent,smiles
4-2-20,$188.00,antifreeze,gifts,cash
4-3-20,$129.00,confetti,car,check
4-4-20,$69.00,car,car,cash
4-9-20,$109.00,confetti,gifts,check
4-11-20,$193.00,hat,food,card
4-11-20,$190.00,antifreeze,gifts,cash
4-12-20,$148.00,hat,car,check
4-13-20,$42.00,confetti,misc,smiles
4-16-20,$146.00,blanket,rent,smiles
4-18-20,$118.00,gas,gifts,card
5-1-20,$1000.00,rent,rent,card
5-1-20,$81.00,bills,rent,smiles
5-2-20,$100.00,antifreeze,car,smiles
5-4-20,$127.00,book,misc,card
5-4-20,$74.00,hat,food,card
5-9-20,$156.00,gas,misc,check
5-10-20,$14.00,gas,gifts,cash
5-20-20,$59.00,confetti,misc,smiles
5-20-20,$160.00,groceries,rent,smiles
5-22-20,$111.00,antifreeze,gifts,cash
5-23-20,$167.00,car,gifts,card
6-1-20,$1000.00,rent,rent,check
6-21-20,$73.00,hat,car,card
6-24-20,$33.00,car,food,smiles
6-28-20,$179.00,confetti,food,cash
7-1-20,$1000.00,rent,rent,cash
7-3-20,$149.00,book,car,smiles
7-6-20,$44.00,hat,food,smiles
7-15-20,$107.00,confetti,gifts,card
7-22-20,$194.00,confetti,gifts,cash
7-28-20,$76.00,gas,food,cash
8-1-20,$1000.00,rent,rent,card
8-2-20,$41.00,bills,rent,card
8-2-20,$91.00,blanket,gifts,smiles
8-11-20,$164.00,bills,food,check
8-15-20,$6.00,book,food,cash
8-17-20,$53.00,car,rent,check
8-18-20,$165.00,confetti,rent,card
8-18-20,$93.00,car,gifts,smiles
8-19-20,$112.00,car,gifts,card
8-21-20,$61.00,car,food,cash
8-24-20,$189.00,bills,rent,smiles
9-1-20,$1000.00,rent,rent,cash
9-2-20,$91.00,gas,gifts,check
9-4-20,$25.00,hat,rent,card
9-5-20,$26.00,bills,misc,check
9-7-20,$5.00,antifreeze,gifts,cash
9-8-20,$17.00,gas,rent,card
9-10-20,$101.00,car,rent,smiles
9-21-20,$189.00,confetti,gifts,check
10-1-20,$1000.00,rent,rent,card
10-2-20,$173.00,groceries,rent,cash
10-3-20,$75.00,book,misc,cash
10-5-20,$92.00,bills,food,card
10-8-20,$173.00,bills,rent,smiles
10-8-20,$48.00,blanket,misc,check
10-9-20,$161.00,blanket,food,smiles
10-12-20,$183.00,groceries,car,check
10-13-20,$144.00,car,misc,check
10-14-20,$120.00,antifreeze,misc,smiles
10-16-20,$39.00,groceries,misc,cash
10-24-20,$75.00,book,gifts,cash
11-1-20,$1000.00,rent,rent,card
11-4-20,$69.00,gas,gifts,card
11-6-20,$167.00,hat,car,check
11-12-20,$89.00,antifreeze,car,smiles
11-14-20,$193.00,car,gifts,cash
11-25-20,$94.00,antifreeze,car,card
11-27-20,$37.00,gas,car,smiles
12-1-20,$1000.00,rent,rent,cash
12-2-20,$188.00,gas,food,card
12-8-20,$125.00,bills,food,smiles
12-17-20,$135.00,blanket,misc,check
12-18-20,$124.00,book,misc,cash
12-21-20,$88.00,car,gifts,check
12-26-20,$12.00,antifreeze,misc,card
