Date,Amount,Description,Category
1-4-18,$65.00,refund,other
1-9-18,$148.00,gift,other
1-11-18,$224.00,refund,work
1-15-18,$189.00,refund,work
1-23-18,$103.00,work,other
2-2-18,$130.00,gift,other
2-8-18,$207.00,work,other
2-11-18,$2233.00,work,work
3-11-18,$2146.00,work,work
4-3-18,$102.00,work,work
4-11-18,$2671.00,work,work
5-6-18,$258.00,gift,work
5-11-18,$2745.00,work,work
5-14-18,$266.00,gift,work
6-1-18,$50.00,gift,work
6-11-18,$2801.00,work,work
7-11-18,$2697.00,work,work
8-7-18,$288.00,refund,other
8-11-18,$2891.00,work,work
9-3-18,$154.00,gift,other
9-11-18,$2393.00,work,work
9-18-18,$211.00,refund,work
10-4-18,$286.00,refund,work
10-10-18,$155.00,refund,other
10-11-18,$2324.00,work,work
10-23-18,$190.00,refund,work
11-11-18,$2881.00,work,work
12-1-18,$254.00,gift,work
12-11-18,$2263.00,work,work
12-11-18,$147.00,refund,other
