Date,Amount,Description,Category,Method of purchase
1-1-20,$1000.00,rent,rent,smiles
1-2-20,$73.00,gas,food,smiles
1-16-20,$199.00,bills,food,cash
1-17-20,$92.00,groceries,gifts,card
1-23-20,$187.00,confetti,rent,smiles
1-25-20,$162.00,book,food,cash
1-28-20,$75.00,antifreeze,food,card
2-1-20,$1000.00,rent,rent,card
2-3-20,$136.00,car,rent,smiles
2-4-20,$167.00,confetti,food,cash
2-7-20,$44.00,confetti,car,cash
2-8-20,$192.00,bills,rent,cash
2-10-20,$65.00,groceries,gifts,check
2-18-20,$186.00,hat,food,check
2-24-20,$112.00,car,misc,cash
3-1-20,$1000.00,rent,rent,smiles
3-2-20,$138.00,car,car,card
3-2-20,$97.00,car,misc,cash
3-3-20,$56.00,antifreeze,misc,smiles
3-14-20,$86.00,hat,food,card
3-17-20,$86.00,groceries,misc,smiles
3-17-20,$110.00,groceries,rent,check
3-18-20,$54.00,confetti,food,cash
3-18-20,$60.00,hat,rent,card
3-23-20,$151.00,confetti,gifts,check
4-1-20,$1000.00,rent,rent,smiles
4-2-20,$188.00,antifreeze,gifts,cash
4-3-20,$129.00,confetti,car,check
4-4-20,$69.00,car,car,cash
4-9-20,$109.00,confetti,gifts,check
4-11-20,$193.00,hat,food,card
4-11-20,$190.00,antifreeze,gifts,cash
4-12-20,$148.00,hat,car,check
4-13-20,$42.00,confetti,misc,smiles
4-16-20,$146.00,blanket,rent,smiles
5-1-20,$1000.00,rent,rent,card
5-1-20,$81.00,bills,rent,smiles
5-2-20,$100.00,antifreeze,car,smiles
5-4-20,$127.00,book,misc,card
5-4-20,$74.00,hat,food,card
5-9-20,$156.00,gas,misc,check
5-10-20,$14.00,gas,gifts,cash
5-20-20,$59.00,confetti,misc,smiles
5-20-20,$160.00,groceries,rent,smiles
5-22-20,$111.00,antifreeze,gifts,cash
5-23-20,$167.00,car,gifts,card
6-1-20,$1000.00,rent,rent,check
6-21-20,$73.00,hat,car,card
6-24-20,$33.00,car,food,smiles
6-28-20,$179.00,confetti,food,cash
7-1-20,$1000.00,rent,rent,cash
7-3-20,$149.00,book,car,smiles
7-6-20,$44.00,hat,food,smiles
7-15-20,$107.00,confetti,gifts,card
7-22-20,$194.00,confetti,gifts,cash
7-28-20,$76.00,gas,food,cash
8-1-20,$1000.00,rent,rent,card
8-2-20,$41.00,bills,rent,card
8-2-20,$91.00,blanket,gifts,smiles
8-11-20,$164.00,bills,food,check
8-15-20,$6.00,book,food,cash
8-17-20,$53.00,car,rent,check
8-18-20,$165.00,confetti,rent,card
8-18-20,$93.00,car,gifts,smiles
8-19-20,$112.00,car,gifts,card
8-21-20,$61.00,car,food,cash
8-24-20,$189.00,bills,rent,smiles
9-1-20,$1000.00,rent,rent,cash
9-2-20,$91.00,gas,gifts,check
9-4-20,$25.00,hat,rent,card
9-5-20,$26.00,bills,misc,check
9-7-20,$5.00,antifreeze,gifts,cash
9-8-20,$17.00,gas,rent,card
9-10-20,$101.00,car,rent,smiles
9-21-20,$189.00,confetti,gifts,check
10-1-20,$1000.00,rent,rent,card
10-2-20,$173.00,groceries,rent,cash
10-3-20,$75.00,book,misc,cash
10-5-20,$92.00,bills,food,card
10-8-20,$173.00,bills,rent,smiles
10-8-20,$48.00,blanket,misc,check
10-9-20,$161.00,blanket,food,smiles
10-12-20,$183.00,groceries,car,check
10-13-20,$144.00,car,misc,check
10-14-20,$120.00,antifreeze,misc,smiles
10-16-20,$39.00,groceries,misc,cash
10-24-20,$75.00,book,gifts,cash
11-1-20,$1000.00,rent,rent,card
11-4-20,$69.00,gas,gifts,card
11-6-20,$167.00,hat,car,check
11-12-20,$89.00,antifreeze,car,smiles
11-14-20,$193.00,car,gifts,cash
11-25-20,$94.00,antifreeze,car,card
11-27-20,$37.00,gas,car,smiles
12-1-20,$1000.00,rent,rent,cash
12-2-20,$188.00,gas,food,card
12-8-20,$125.00,bills,food,smiles
12-17-20,$135.00,blanket,misc,check
12-18-20,$124.00,book,misc,cash
12-21-20,$88.00,car,gifts,check
12-26-20,$12.00,antifreeze,misc,card
