Date,Amount,Description,Category
1-4-18,$65.00,refund,other
1-9-18,$148.00,gift,other
1-11-18,$2451.00,work,work
1-11-18,$224.00,refund,work
1-15-18,$189.00,refund,work
1-23-18,$103.00,work,other
2-2-18,$130.00,gift,other
2-8-18,$207.00,work,other
2-11-18,$2233.00,work,work
3-11-18,$2146.00,work,work
4-3-18,$102.00,work,work
4-11-18,$2671.00,work,work
4-11-18,$102.00,refund,work
5-6-18,$258.00,gift,work
5-11-18,$2745.00,work,work
5-14-18,$266.00,gift,work
6-1-18,$50.00,gift,work
6-11-18,$2801.00,work,work
7-11-18,$2697.00,work,work
8-7-18,$288.00,refund,other
8-11-18,$2891.00,work,work
9-3-18,$154.00,gift,other
9-11-18,$2393.00,work,work
9-18-18,$211.00,refund,work
10-4-18,$286.00,refund,work
10-10-18,$155.00,refund,other
10-11-18,$2324.00,work,work
10-23-18,$190.00,refund,work
11-11-18,$2881.00,work,work
12-1-18,$254.00,gift,work
12-11-18,$2263.00,work,work
12-11-18,$147.00,refund,other
1-11-19,$2815.00,work,work
1-15-19,$216.00,gift,other
1-20-19,$267.00,refund,other
1-23-19,$287.00,refund,other
1-24-19,$63.00,gift,other
1-26-19,$254.00,gift,work
2-1-19,$162.00,work,work
2-10-19,$268.00,gift,other
2-11-19,$2114.00,work,work
3-5-19,$148.00,refund,work
3-10-19,$100.00,refund,other
3-11-19,$2241.00,work,work
4-2-19,$194.00,gift,work
4-11-19,$2852.00,work,work
5-6-19,$248.00,refund,other
5-8-19,$123.00,refund,other
5-11-19,$2644.00,work,work
5-18-19,$118.00,gift,work
6-11-19,$2047.00,work,work
6-11-19,$284.00,work,other
6-15-19,$113.00,refund,other
7-11-19,$2130.00,work,work
7-23-19,$125.00,work,other
8-11-19,$2638.00,work,work
9-11-19,$2152.00,work,work
10-11-19,$2714.00,work,work
11-5-19,$289.00,work,other
11-9-19,$177.00,refund,work
11-11-19,$2936.00,work,work
11-14-19,$81.00,work,other
11-25-19,$193.00,work,other
12-11-19,$2324.00,work,work
1-11-20,$2815.00,work,work
2-11-20,$2080.00,work,work
3-1-20,$175.00,work,work
3-8-20,$141.00,gift,other
3-11-20,$2979.00,work,work
3-28-20,$238.00,refund,work
4-9-20,$290.00,gift,work
4-11-20,$2531.00,work,work
5-9-20,$222.00,refund,work
5-11-20,$2053.00,work,work
6-11-20,$2722.00,work,work
6-22-20,$213.00,gift,other
6-27-20,$65.00,work,other
7-1-20,$243.00,refund,other
7-8-20,$107.00,work,work
7-9-20,$114.00,gift,other
7-11-20,$2229.00,work,work
7-13-20,$84.00,work,other
7-28-20,$244.00,work,other
8-10-20,$228.00,gift,other
8-11-20,$2614.00,work,work
8-17-20,$240.00,gift,other
9-11-20,$2235.00,work,work
9-22-20,$87.00,gift,other
10-4-20,$110.00,refund,other
10-11-20,$2889.00,work,work
11-10-20,$109.00,gift,work
11-10-20,$238.00,refund,work
11-11-20,$2611.00,work,work
11-23-20,$151.00,work,work
12-11-20,$2866.00,work,work
