Date,Amount,Description,Category,Method of purchase
1-1-18,$1000.00,rent,rent,cash
1-2-18,$219.00,bills,food,card
1-3-18,$280.00,hat,misc,cash
1-5-18,$260.00,blanket,gifts,check
1-6-18,$35.00,bills,car,card
1-8-18,$200.00,groceries,misc,smiles
1-11-18,$293.00,antifreeze,food,card
1-11-18,$295.00,groceries,misc,card
1-16-18,$29.00,car,food,card
1-17-18,$27.00,groceries,car,cash
1-19-18,$58.00,book,food,cash
1-20-18,$239.00,car,rent,card
1-22-18,$105.00,gas,rent,cash
1-27-18,$102.00,car,misc,cash
2-1-18,$1000.00,rent,rent,cash
2-7-18,$233.00,antifreeze,food,card
2-11-18,$289.00,book,food,card
2-16-18,$178.00,blanket,car,smiles
2-27-18,$38.00,gas,car,card
3-1-18,$1000.00,rent,rent,cash
3-1-18,$88.00,confetti,car,cash
3-8-18,$6.00,confetti,food,cash
3-12-18,$46.00,confetti,food,check
3-16-18,$279.00,antifreeze,rent,smiles
3-26-18,$11.00,antifreeze,misc,card
4-1-18,$1000.00,rent,rent,cash
4-13-18,$206.00,bills,rent,smiles
4-22-18,$192.00,car,rent,check
4-23-18,$123.00,gas,food,check
4-26-18,$110.00,book,misc,smiles
5-1-18,$1000.00,rent,rent,check
5-2-18,$56.00,groceries,car,cash
5-15-18,$238.00,groceries,gifts,check
5-16-18,$51.00,hat,misc,check
5-18-18,$25.00,groceries,rent,check
5-19-18,$224.00,car,misc,check
5-22-18,$142.00,confetti,misc,card
5-23-18,$254.00,hat,misc,smiles
6-1-18,$1000.00,rent,rent,smiles
6-3-18,$92.00,confetti,rent,card
6-4-18,$132.00,bills,misc,cash
6-10-18,$162.00,confetti,rent,cash
6-10-18,$38.00,gas,car,cash
6-15-18,$257.00,groceries,gifts,check
6-16-18,$208.00,groceries,misc,smiles
6-16-18,$121.00,car,gifts,cash
6-21-18,$235.00,antifreeze,car,check
6-26-18,$19.00,antifreeze,car,cash
6-27-18,$53.00,car,food,smiles
6-28-18,$23.00,bills,rent,smiles
7-1-18,$1000.00,rent,rent,card
7-15-18,$19.00,antifreeze,car,check
7-16-18,$264.00,bills,gifts,cash
7-17-18,$131.00,hat,car,check
7-27-18,$118.00,car,food,card
7-27-18,$124.00,antifreeze,misc,check
8-1-18,$1000.00,rent,rent,smiles
8-6-18,$219.00,confetti,misc,cash
8-11-18,$92.00,groceries,misc,card
8-15-18,$137.00,blanket,food,check
8-15-18,$170.00,book,food,check
8-19-18,$203.00,hat,rent,smiles
8-20-18,$77.00,hat,food,check
8-21-18,$66.00,book,car,cash
9-1-18,$1000.00,rent,rent,cash
9-3-18,$169.00,blanket,rent,check
9-18-18,$52.00,gas,car,card
9-28-18,$53.00,bills,food,check
10-1-18,$1000.00,rent,rent,smiles
10-2-18,$142.00,groceries,misc,card
10-6-18,$287.00,hat,car,check
10-10-18,$203.00,confetti,food,smiles
10-15-18,$234.00,book,food,cash
10-16-18,$39.00,confetti,rent,cash
10-20-18,$15.00,gas,food,card
10-20-18,$282.00,car,car,check
10-22-18,$261.00,blanket,gifts,check
10-28-18,$177.00,confetti,rent,check
10-28-18,$53.00,gas,car,cash
11-1-18,$1000.00,rent,rent,smiles
11-1-18,$92.00,blanket,gifts,smiles
11-3-18,$177.00,confetti,gifts,cash
11-3-18,$98.00,car,rent,card
11-4-18,$211.00,bills,food,cash
11-5-18,$82.00,book,car,check
11-6-18,$62.00,hat,gifts,card
11-12-18,$281.00,antifreeze,car,smiles
11-17-18,$159.00,bills,misc,smiles
11-27-18,$47.00,blanket,rent,smiles
12-1-18,$1000.00,rent,rent,card
12-3-18,$133.00,gas,gifts,card
12-6-18,$19.00,bills,car,card
12-8-18,$284.00,gas,rent,card
12-15-18,$127.00,hat,rent,check
12-16-18,$168.00,gas,car,smiles
12-17-18,$287.00,gas,rent,smiles
12-19-18,$168.00,confetti,food,smiles
12-22-18,$230.00,bills,car,cash
12-26-18,$28.00,confetti,gifts,smiles
12-27-18,$201.00,book,gifts,smiles
12-27-18,$44.00,car,food,card
12-28-18,$20.00,confetti,food,cash
