Date,Amount,Description,Category
1-6-20,$130.00,gift,other
1-11-20,$1958.00,work,work
2-10-20,$142.00,gift,other
2-11-20,$2397.00,work,work
2-12-20,$124.00,work,work
2-22-20,$140.00,refund,other
3-11-20,$1665.00,work,work
3-20-20,$190.00,refund,work
3-28-20,$101.00,refund,other
4-11-20,$1969.00,work,work
4-16-20,$94.00,work,other
4-20-20,$147.00,gift,other
4-25-20,$377.00,work,work
5-11-20,$1922.00,work,work
5-17-20,$459.00,gift,work
5-20-20,$472.00,work,other
6-11-20,$2079.00,work,work
7-2-20,$402.00,work,other
7-11-20,$2211.00,work,work
8-9-20,$495.00,work,other
8-10-20,$207.00,refund,other
8-11-20,$2954.00,work,work
8-21-20,$436.00,work,other
9-5-20,$420.00,refund,work
9-11-20,$2416.00,work,work
9-15-20,$368.00,gift,work
10-11-20,$1764.00,work,work
11-11-20,$1912.00,work,work
11-12-20,$457.00,work,other
12-1-20,$350.00,work,work
12-11-20,$1760.00,work,work
12-22-20,$421.00,gift,other
