Date,Amount,Description,Category
1-11-16,$2717.00,work,work
1-13-16,$335.00,refund,other
2-11-16,$1519.00,work,work
2-11-16,$481.00,refund,other
2-21-16,$249.00,work,other
2-22-16,$427.00,work,other
3-8-16,$360.00,gift,work
3-11-16,$1701.00,work,work
3-16-16,$367.00,gift,other
3-24-16,$315.00,work,other
4-5-16,$133.00,work,work
4-11-16,$2253.00,work,work
5-3-16,$428.00,refund,other
5-11-16,$2085.00,work,work
6-8-16,$384.00,work,other
6-9-16,$306.00,refund,other
6-11-16,$1784.00,work,work
7-2-16,$200.00,refund,work
7-11-16,$2438.00,work,work
8-6-16,$386.00,work,other
8-11-16,$1983.00,work,work
8-13-16,$290.00,work,other
8-13-16,$380.00,refund,work
9-11-16,$1820.00,work,work
10-5-16,$453.00,gift,work
10-11-16,$1599.00,work,work
10-18-16,$112.00,gift,work
11-8-16,$315.00,gift,other
11-11-16,$2946.00,work,work
12-2-16,$57.00,gift,other
12-11-16,$2663.00,work,work
12-14-16,$212.00,gift,work
1-2-17,$466.00,refund,work
1-11-17,$1889.00,work,work
1-23-17,$296.00,gift,other
2-11-17,$1861.00,work,work
3-11-17,$2489.00,work,work
4-2-17,$248.00,gift,other
4-11-17,$2757.00,work,work
5-2-17,$186.00,work,other
5-11-17,$2610.00,work,work
6-10-17,$453.00,gift,other
6-11-17,$2929.00,work,work
6-24-17,$71.00,work,other
7-11-17,$1634.00,work,work
7-15-17,$182.00,work,work
8-1-17,$125.00,refund,other
8-4-17,$256.00,refund,work
8-11-17,$2670.00,work,work
8-13-17,$151.00,refund,work
9-4-17,$88.00,refund,other
9-11-17,$2750.00,work,work
9-18-17,$283.00,gift,other
9-19-17,$208.00,refund,other
10-11-17,$1808.00,work,work
10-12-17,$490.00,gift,other
10-16-17,$110.00,gift,other
11-11-17,$2943.00,work,work
11-21-17,$401.00,work,work
11-28-17,$399.00,refund,other
12-11-17,$1559.00,work,work
12-20-17,$127.00,refund,other
12-23-17,$215.00,gift,other
12-26-17,$61.00,work,work
1-5-18,$164.00,work,other
1-11-18,$2187.00,work,work
1-13-18,$406.00,gift,work
1-15-18,$353.00,refund,other
1-27-18,$323.00,gift,work
2-11-18,$2652.00,work,work
3-4-18,$326.00,gift,other
3-11-18,$2271.00,work,work
3-11-18,$197.00,refund,other
3-15-18,$176.00,work,other
4-1-18,$454.00,work,other
4-11-18,$2989.00,work,work
4-26-18,$137.00,work,work
5-11-18,$1540.00,work,work
5-20-18,$388.00,refund,work
5-25-18,$389.00,refund,work
6-11-18,$2077.00,work,work
6-23-18,$423.00,gift,other
7-11-18,$1974.00,work,work
8-1-18,$279.00,refund,other
8-1-18,$118.00,work,other
8-11-18,$1665.00,work,work
8-17-18,$392.00,work,other
8-20-18,$339.00,gift,other
9-11-18,$2456.00,work,work
10-4-18,$85.00,gift,work
10-11-18,$2652.00,work,work
10-18-18,$490.00,work,other
10-21-18,$466.00,work,work
11-2-18,$477.00,gift,other
11-11-18,$2730.00,work,work
12-11-18,$2464.00,work,work
1-3-19,$108.00,gift,work
1-3-19,$457.00,refund,other
1-11-19,$2736.00,work,work
1-15-19,$285.00,work,other
1-24-19,$340.00,gift,work
2-11-19,$2447.00,work,work
2-13-19,$426.00,work,work
3-11-19,$2836.00,work,work
4-11-19,$2147.00,work,work
4-19-19,$98.00,refund,work
5-11-19,$1658.00,work,work
5-26-19,$211.00,work,other
6-11-19,$1730.00,work,work
7-5-19,$145.00,gift,work
7-10-19,$122.00,gift,other
7-11-19,$2366.00,work,work
7-16-19,$130.00,refund,work
7-24-19,$76.00,work,other
8-11-19,$1705.00,work,work
8-22-19,$319.00,refund,work
9-1-19,$245.00,gift,work
9-11-19,$1702.00,work,work
10-11-19,$1548.00,work,work
10-16-19,$340.00,refund,work
11-11-19,$1614.00,work,work
11-14-19,$56.00,work,work
11-16-19,$401.00,gift,work
11-19-19,$73.00,refund,other
11-23-19,$352.00,gift,other
11-24-19,$467.00,gift,work
12-11-19,$2947.00,work,work
12-22-19,$383.00,work,work
1-6-20,$130.00,gift,other
1-11-20,$1958.00,work,work
2-10-20,$142.00,gift,other
2-11-20,$2397.00,work,work
2-12-20,$124.00,work,work
2-22-20,$140.00,refund,other
3-11-20,$1665.00,work,work
3-20-20,$190.00,refund,work
3-28-20,$101.00,refund,other
4-11-20,$1969.00,work,work
4-16-20,$94.00,work,other
4-20-20,$147.00,gift,other
4-25-20,$377.00,work,work
5-11-20,$1922.00,work,work
5-17-20,$459.00,gift,work
5-20-20,$472.00,work,other
6-11-20,$2079.00,work,work
7-2-20,$402.00,work,other
7-11-20,$2211.00,work,work
8-9-20,$495.00,work,other
8-10-20,$207.00,refund,other
8-11-20,$2954.00,work,work
8-21-20,$436.00,work,other
9-5-20,$420.00,refund,work
9-11-20,$2416.00,work,work
9-15-20,$368.00,gift,work
10-11-20,$1764.00,work,work
11-11-20,$1912.00,work,work
11-12-20,$457.00,work,other
12-1-20,$350.00,work,work
12-11-20,$1760.00,work,work
12-22-20,$421.00,gift,other
