Date,Amount,Description,Category
1-2-17,$466.00,refund,work
1-11-17,$1889.00,work,work
1-23-17,$296.00,gift,other
2-11-17,$1861.00,work,work
3-11-17,$2489.00,work,work
4-2-17,$248.00,gift,other
4-11-17,$2757.00,work,work
5-2-17,$186.00,work,other
5-11-17,$2610.00,work,work
6-10-17,$453.00,gift,other
6-11-17,$2929.00,work,work
6-24-17,$71.00,work,other
7-11-17,$1634.00,work,work
7-15-17,$182.00,work,work
8-1-17,$125.00,refund,other
8-4-17,$256.00,refund,work
8-11-17,$2670.00,work,work
8-13-17,$151.00,refund,work
9-4-17,$88.00,refund,other
9-11-17,$2750.00,work,work
9-18-17,$283.00,gift,other
9-19-17,$208.00,refund,other
10-11-17,$1808.00,work,work
10-12-17,$490.00,gift,other
10-16-17,$110.00,gift,other
11-11-17,$2943.00,work,work
11-21-17,$401.00,work,work
11-28-17,$399.00,refund,other
12-11-17,$1559.00,work,work
12-20-17,$127.00,refund,other
12-23-17,$215.00,gift,other
12-26-17,$61.00,work,work
