Date,Amount,Description,Category,Method of purchase
1-1-17,$1000.00,rent,rent,check
1-1-17,$199.00,confetti,rent,check
1-9-17,$51.00,hat,food,card
1-11-17,$243.00,gas,misc,cash
1-15-17,$129.00,blanket,rent,cash
1-18-17,$46.00,groceries,misc,check
1-22-17,$129.00,car,rent,smiles
1-24-17,$195.00,hat,food,cash
1-25-17,$239.00,gas,gifts,check
1-27-17,$38.00,book,food,cash
1-27-17,$91.00,gas,misc,check
1-27-17,$117.00,confetti,misc,cash
2-1-17,$1000.00,rent,rent,cash
2-7-17,$154.00,confetti,car,card
2-10-17,$11.00,blanket,car,check
2-16-17,$151.00,blanket,misc,smiles
2-19-17,$294.00,bills,car,smiles
2-24-17,$206.00,car,misc,cash
2-27-17,$181.00,book,misc,check
3-1-17,$1000.00,rent,rent,smiles
3-1-17,$53.00,bills,gifts,cash
3-5-17,$48.00,confetti,gifts,cash
3-8-17,$228.00,book,rent,smiles
3-8-17,$125.00,blanket,rent,card
3-13-17,$60.00,hat,misc,check
3-15-17,$273.00,blanket,misc,check
3-26-17,$95.00,hat,food,card
4-1-17,$1000.00,rent,rent,card
4-4-17,$19.00,blanket,gifts,smiles
4-10-17,$194.00,car,food,card
4-14-17,$44.00,antifreeze,car,check
4-25-17,$136.00,blanket,rent,smiles
4-25-17,$200.00,gas,food,smiles
4-27-17,$40.00,bills,car,check
5-1-17,$1000.00,rent,rent,card
5-4-17,$152.00,groceries,rent,cash
5-5-17,$22.00,antifreeze,gifts,cash
5-5-17,$153.00,blanket,food,card
5-8-17,$267.00,hat,gifts,cash
5-9-17,$283.00,antifreeze,misc,cash
5-12-17,$61.00,gas,misc,check
5-18-17,$18.00,blanket,food,smiles
5-19-17,$194.00,hat,rent,card
5-23-17,$61.00,hat,misc,cash
6-1-17,$1000.00,rent,rent,smiles
6-12-17,$83.00,bills,gifts,card
6-17-17,$57.00,antifreeze,car,check
6-26-17,$77.00,book,food,cash
7-1-17,$1000.00,rent,rent,smiles
7-1-17,$116.00,gas,gifts,smiles
7-2-17,$9.00,blanket,misc,card
7-2-17,$252.00,antifreeze,misc,card
7-5-17,$241.00,confetti,rent,card
7-11-17,$177.00,bills,car,cash
7-13-17,$258.00,hat,car,cash
7-13-17,$96.00,bills,food,check
7-14-17,$116.00,blanket,car,cash
7-16-17,$191.00,bills,gifts,smiles
7-21-17,$69.00,blanket,misc,smiles
7-24-17,$76.00,bills,misc,check
8-1-17,$1000.00,rent,rent,smiles
8-1-17,$126.00,blanket,car,card
8-10-17,$281.00,book,rent,card
8-15-17,$45.00,groceries,gifts,card
8-24-17,$151.00,groceries,misc,card
8-24-17,$224.00,hat,gifts,smiles
9-1-17,$1000.00,rent,rent,smiles
9-3-17,$160.00,groceries,misc,check
9-4-17,$273.00,book,car,card
9-5-17,$20.00,blanket,misc,card
9-5-17,$66.00,groceries,gifts,card
9-6-17,$36.00,book,misc,cash
9-8-17,$167.00,confetti,gifts,cash
9-14-17,$101.00,confetti,misc,check
9-16-17,$228.00,groceries,car,smiles
9-16-17,$260.00,confetti,rent,smiles
9-17-17,$124.00,antifreeze,food,check
9-21-17,$26.00,book,misc,smiles
10-1-17,$1000.00,rent,rent,smiles
10-7-17,$213.00,blanket,misc,smiles
10-12-17,$143.00,blanket,gifts,check
10-21-17,$48.00,antifreeze,misc,smiles
10-22-17,$288.00,book,car,cash
10-23-17,$194.00,hat,rent,check
10-25-17,$172.00,confetti,rent,card
10-27-17,$272.00,antifreeze,car,cash
10-28-17,$91.00,car,misc,card
11-1-17,$1000.00,rent,rent,cash
11-6-17,$149.00,book,food,cash
11-13-17,$162.00,gas,misc,card
11-16-17,$231.00,gas,food,cash
11-23-17,$36.00,gas,gifts,check
12-1-17,$1000.00,rent,rent,card
12-3-17,$19.00,hat,misc,card
12-7-17,$146.00,book,car,smiles
12-7-17,$39.00,confetti,gifts,smiles
12-14-17,$20.00,book,car,smiles
12-22-17,$260.00,confetti,rent,check
12-26-17,$227.00,gas,rent,smiles
12-27-17,$97.00,confetti,gifts,smiles
12-28-17,$125.00,car,misc,check
