Date,Amount,Description,Category
1-3-19,$108.00,gift,work
1-11-19,$2736.00,work,work
1-15-19,$285.00,work,other
1-24-19,$340.00,gift,work
2-11-19,$2447.00,work,work
2-13-19,$426.00,work,work
3-11-19,$2836.00,work,work
4-11-19,$2147.00,work,work
4-19-19,$98.00,refund,work
5-11-19,$1658.00,work,work
5-26-19,$211.00,work,other
6-11-19,$1730.00,work,work
7-5-19,$145.00,gift,work
7-10-19,$122.00,gift,other
7-11-19,$2366.00,work,work
7-16-19,$130.00,refund,work
7-24-19,$76.00,work,other
8-11-19,$1705.00,work,work
8-22-19,$319.00,refund,work
9-1-19,$245.00,gift,work
9-11-19,$1702.00,work,work
10-11-19,$1548.00,work,work
10-16-19,$340.00,refund,work
11-11-19,$1614.00,work,work
11-14-19,$56.00,work,work
11-16-19,$401.00,gift,work
11-19-19,$73.00,refund,other
11-23-19,$352.00,gift,other
11-24-19,$467.00,gift,work
12-11-19,$2947.00,work,work
12-22-19,$383.00,work,work
