Date,Amount,Description,Category
1-11-17,$2572.00,work,work
1-21-17,$480.00,gift,work
2-11-17,$1668.00,work,work
3-11-17,$2159.00,work,work
3-24-17,$468.00,gift,other
4-11-17,$1647.00,work,work
5-1-17,$377.00,refund,other
5-6-17,$239.00,gift,other
5-9-17,$97.00,work,work
5-11-17,$1602.00,work,work
6-1-17,$446.00,work,other
6-3-17,$442.00,work,work
6-10-17,$454.00,refund,other
6-11-17,$2783.00,work,work
6-12-17,$136.00,gift,work
6-20-17,$341.00,work,work
6-20-17,$174.00,gift,other
6-25-17,$434.00,gift,work
7-5-17,$149.00,work,work
7-11-17,$2379.00,work,work
7-25-17,$305.00,refund,work
8-11-17,$1714.00,work,work
8-24-17,$399.00,refund,work
9-7-17,$316.00,gift,work
9-11-17,$2534.00,work,work
9-25-17,$424.00,gift,other
10-5-17,$380.00,gift,work
10-11-17,$2208.00,work,work
10-25-17,$230.00,refund,work
10-28-17,$417.00,gift,work
11-11-17,$2618.00,work,work
12-11-17,$1767.00,work,work
