Date,Amount,Description,Category,Method of purchase
1-1-18,$1000.00,rent,rent,check
1-1-18,$152.00,bills,misc,smiles
1-4-18,$300.00,car,car,smiles
1-7-18,$39.00,confetti,gifts,smiles
1-10-18,$22.00,book,rent,smiles
1-16-18,$275.00,car,rent,smiles
1-22-18,$68.00,confetti,misc,check
1-24-18,$158.00,blanket,food,card
2-1-18,$1000.00,rent,rent,smiles
2-1-18,$292.00,book,rent,smiles
2-1-18,$162.00,gas,misc,card
2-7-18,$51.00,antifreeze,rent,cash
2-9-18,$7.00,confetti,gifts,cash
2-13-18,$129.00,blanket,gifts,card
2-17-18,$36.00,bills,food,check
2-21-18,$58.00,confetti,rent,card
2-23-18,$197.00,bills,food,card
2-26-18,$117.00,antifreeze,misc,check
3-1-18,$1000.00,rent,rent,smiles
3-4-18,$195.00,car,gifts,cash
3-5-18,$29.00,hat,food,card
3-9-18,$78.00,confetti,gifts,check
3-17-18,$186.00,book,misc,smiles
3-19-18,$162.00,hat,gifts,cash
3-28-18,$240.00,antifreeze,misc,cash
4-1-18,$1000.00,rent,rent,check
4-4-18,$232.00,groceries,rent,cash
4-11-18,$252.00,gas,car,check
4-15-18,$63.00,hat,misc,smiles
4-16-18,$41.00,car,rent,cash
4-18-18,$183.00,book,gifts,cash
4-20-18,$50.00,book,gifts,smiles
4-27-18,$198.00,hat,car,card
5-1-18,$1000.00,rent,rent,smiles
5-3-18,$71.00,confetti,gifts,check
5-21-18,$89.00,antifreeze,misc,card
5-21-18,$233.00,groceries,misc,card
5-25-18,$117.00,blanket,rent,smiles
6-1-18,$1000.00,rent,rent,cash
6-5-18,$146.00,book,gifts,smiles
6-10-18,$106.00,bills,car,card
6-13-18,$155.00,antifreeze,gifts,card
6-14-18,$294.00,car,rent,check
6-17-18,$166.00,groceries,gifts,check
6-22-18,$63.00,car,car,check
6-23-18,$263.00,hat,rent,smiles
7-1-18,$1000.00,rent,rent,smiles
7-4-18,$35.00,groceries,gifts,cash
7-13-18,$32.00,gas,gifts,smiles
7-14-18,$295.00,antifreeze,rent,card
7-14-18,$120.00,bills,misc,cash
7-24-18,$70.00,antifreeze,misc,cash
7-26-18,$83.00,antifreeze,food,smiles
7-26-18,$270.00,confetti,gifts,cash
7-28-18,$46.00,antifreeze,gifts,cash
8-1-18,$1000.00,rent,rent,card
8-7-18,$289.00,blanket,rent,smiles
8-7-18,$169.00,gas,rent,check
8-8-18,$118.00,gas,rent,cash
8-8-18,$56.00,hat,car,card
8-11-18,$9.00,blanket,rent,check
8-13-18,$170.00,gas,rent,card
8-15-18,$32.00,bills,gifts,check
8-19-18,$182.00,gas,food,smiles
8-22-18,$300.00,book,food,smiles
8-23-18,$264.00,blanket,rent,card
8-27-18,$74.00,hat,food,smiles
9-1-18,$1000.00,rent,rent,card
9-3-18,$112.00,groceries,car,smiles
9-4-18,$239.00,bills,misc,card
9-9-18,$117.00,bills,car,smiles
9-14-18,$170.00,groceries,car,card
9-18-18,$145.00,confetti,rent,check
10-1-18,$1000.00,rent,rent,smiles
10-5-18,$89.00,blanket,gifts,check
10-13-18,$40.00,car,misc,card
10-13-18,$170.00,gas,car,check
10-14-18,$234.00,groceries,gifts,smiles
10-18-18,$39.00,hat,food,card
10-24-18,$139.00,bills,misc,card
11-1-18,$1000.00,rent,rent,smiles
11-1-18,$282.00,antifreeze,food,cash
11-3-18,$90.00,hat,car,cash
11-7-18,$151.00,car,food,card
11-10-18,$258.00,blanket,car,cash
11-14-18,$272.00,confetti,gifts,card
11-18-18,$145.00,bills,car,cash
11-18-18,$50.00,gas,car,smiles
11-20-18,$296.00,blanket,car,card
11-27-18,$154.00,hat,gifts,check
12-1-18,$1000.00,rent,rent,smiles
12-4-18,$156.00,book,misc,cash
12-4-18,$130.00,confetti,food,smiles
12-5-18,$175.00,gas,rent,check
12-6-18,$290.00,book,car,cash
12-10-18,$147.00,bills,car,card
12-11-18,$234.00,groceries,rent,card
12-12-18,$85.00,book,food,smiles
12-17-18,$183.00,blanket,rent,card
12-19-18,$84.00,gas,rent,check
12-23-18,$284.00,hat,rent,cash
12-28-18,$17.00,gas,rent,cash
