Date,Amount,Description,Category,Method of purchase
1-1-16,$1000.00,rent,rent,cash
1-4-16,$41.00,confetti,rent,card
1-7-16,$40.00,bills,food,cash
1-7-16,$74.00,car,car,cash
1-7-16,$39.00,gas,rent,check
1-7-16,$189.00,book,food,check
1-16-16,$285.00,confetti,gifts,check
1-18-16,$175.00,hat,misc,card
1-23-16,$225.00,blanket,rent,smiles
1-27-16,$236.00,bills,rent,check
1-27-16,$300.00,car,car,check
2-1-16,$1000.00,rent,rent,cash
2-2-16,$194.00,groceries,rent,cash
2-7-16,$251.00,hat,rent,cash
2-12-16,$172.00,groceries,food,cash
2-24-16,$293.00,blanket,misc,cash
2-27-16,$78.00,car,car,cash
3-1-16,$1000.00,rent,rent,smiles
3-4-16,$187.00,bills,rent,cash
3-7-16,$220.00,blanket,food,smiles
3-11-16,$143.00,book,misc,cash
3-16-16,$262.00,car,misc,smiles
3-25-16,$298.00,book,food,cash
3-27-16,$194.00,bills,misc,card
4-1-16,$1000.00,rent,rent,check
4-5-16,$240.00,blanket,misc,check
4-7-16,$288.00,hat,gifts,card
4-9-16,$129.00,confetti,car,check
4-14-16,$234.00,groceries,food,card
4-19-16,$286.00,groceries,gifts,card
4-21-16,$213.00,confetti,gifts,card
4-24-16,$193.00,book,food,smiles
5-1-16,$1000.00,rent,rent,check
5-10-16,$13.00,groceries,gifts,smiles
5-19-16,$220.00,groceries,food,smiles
5-20-16,$233.00,book,misc,check
5-27-16,$231.00,blanket,rent,smiles
6-1-16,$1000.00,rent,rent,smiles
6-2-16,$225.00,blanket,food,cash
6-12-16,$229.00,car,gifts,cash
6-13-16,$136.00,book,car,smiles
6-13-16,$170.00,hat,food,cash
6-17-16,$43.00,confetti,car,card
6-21-16,$48.00,confetti,car,cash
7-1-16,$1000.00,rent,rent,smiles
7-6-16,$112.00,confetti,misc,cash
7-6-16,$229.00,confetti,car,smiles
7-12-16,$89.00,gas,food,check
7-13-16,$221.00,confetti,car,check
7-19-16,$159.00,car,gifts,card
7-19-16,$282.00,bills,car,cash
7-25-16,$132.00,bills,rent,smiles
7-27-16,$170.00,hat,misc,check
7-28-16,$99.00,blanket,car,check
8-1-16,$1000.00,rent,rent,cash
8-2-16,$174.00,groceries,gifts,cash
8-4-16,$175.00,antifreeze,food,smiles
8-14-16,$143.00,car,misc,smiles
8-17-16,$197.00,blanket,rent,check
8-18-16,$62.00,book,rent,cash
8-20-16,$52.00,groceries,food,check
8-22-16,$33.00,confetti,food,check
8-23-16,$127.00,confetti,rent,card
8-23-16,$65.00,gas,car,smiles
8-28-16,$129.00,confetti,gifts,smiles
9-1-16,$1000.00,rent,rent,card
9-4-16,$101.00,confetti,gifts,check
9-6-16,$289.00,hat,car,card
9-8-16,$185.00,antifreeze,misc,smiles
9-8-16,$54.00,gas,misc,check
9-8-16,$253.00,antifreeze,food,smiles
9-13-16,$111.00,hat,gifts,smiles
9-23-16,$66.00,groceries,misc,cash
9-24-16,$12.00,antifreeze,misc,card
9-26-16,$121.00,groceries,rent,card
10-1-16,$1000.00,rent,rent,card
10-2-16,$154.00,hat,car,card
10-6-16,$156.00,hat,gifts,smiles
10-9-16,$245.00,bills,rent,card
10-12-16,$50.00,bills,rent,check
10-18-16,$98.00,car,car,card
10-20-16,$224.00,gas,misc,card
10-21-16,$171.00,groceries,rent,smiles
10-24-16,$22.00,bills,food,card
11-1-16,$1000.00,rent,rent,smiles
11-7-16,$257.00,groceries,gifts,check
11-10-16,$287.00,confetti,gifts,cash
11-11-16,$235.00,blanket,rent,card
11-16-16,$232.00,confetti,car,check
11-16-16,$67.00,hat,rent,smiles
11-22-16,$170.00,hat,car,card
11-23-16,$191.00,gas,misc,card
11-25-16,$73.00,groceries,food,card
12-1-16,$1000.00,rent,rent,check
12-3-16,$185.00,antifreeze,food,smiles
12-5-16,$97.00,groceries,food,smiles
12-13-16,$58.00,bills,gifts,smiles
12-13-16,$190.00,bills,misc,check
12-14-16,$77.00,confetti,food,card
12-18-16,$60.00,car,food,check
12-19-16,$148.00,antifreeze,misc,cash
12-28-16,$13.00,gas,misc,check
1-1-17,$1000.00,rent,rent,cash
1-2-17,$227.00,hat,food,check
1-5-17,$102.00,car,car,check
1-16-17,$6.00,gas,car,smiles
1-18-17,$278.00,confetti,gifts,card
1-19-17,$174.00,car,misc,check
1-21-17,$105.00,confetti,car,card
1-25-17,$7.00,blanket,misc,check
1-27-17,$91.00,gas,car,smiles
2-1-17,$1000.00,rent,rent,smiles
2-3-17,$123.00,blanket,car,check
2-9-17,$291.00,gas,gifts,cash
2-10-17,$157.00,gas,car,check
2-19-17,$167.00,gas,gifts,card
2-22-17,$249.00,book,food,check
3-1-17,$1000.00,rent,rent,smiles
3-5-17,$21.00,car,misc,check
3-6-17,$239.00,antifreeze,gifts,smiles
3-7-17,$153.00,bills,misc,cash
3-7-17,$101.00,hat,gifts,cash
3-13-17,$183.00,bills,rent,card
4-1-17,$1000.00,rent,rent,card
4-4-17,$78.00,hat,misc,check
4-6-17,$110.00,gas,food,check
4-11-17,$163.00,gas,food,cash
4-26-17,$211.00,blanket,car,smiles
5-1-17,$1000.00,rent,rent,card
5-4-17,$195.00,book,gifts,cash
5-7-17,$197.00,gas,car,smiles
5-9-17,$155.00,gas,gifts,check
5-12-17,$203.00,hat,car,check
5-12-17,$117.00,antifreeze,food,cash
5-14-17,$182.00,bills,rent,cash
5-14-17,$58.00,confetti,misc,cash
5-17-17,$117.00,hat,rent,cash
5-20-17,$50.00,antifreeze,misc,cash
5-25-17,$120.00,antifreeze,car,smiles
5-26-17,$176.00,blanket,gifts,card
5-28-17,$43.00,book,misc,check
6-1-17,$1000.00,rent,rent,cash
6-1-17,$100.00,car,gifts,card
6-10-17,$279.00,book,rent,smiles
6-10-17,$284.00,book,rent,card
6-12-17,$212.00,book,food,cash
6-13-17,$253.00,car,car,cash
6-15-17,$238.00,hat,rent,smiles
6-18-17,$114.00,groceries,misc,cash
6-19-17,$189.00,bills,misc,smiles
6-21-17,$265.00,groceries,food,card
6-23-17,$230.00,blanket,food,cash
6-28-17,$115.00,blanket,misc,card
7-1-17,$1000.00,rent,rent,card
7-3-17,$173.00,confetti,car,check
7-13-17,$272.00,car,rent,cash
7-22-17,$59.00,car,food,card
7-23-17,$288.00,car,car,cash
7-25-17,$20.00,blanket,gifts,check
8-1-17,$1000.00,rent,rent,smiles
8-4-17,$203.00,antifreeze,food,check
8-8-17,$63.00,hat,food,card
8-11-17,$253.00,groceries,car,cash
8-13-17,$21.00,book,gifts,smiles
8-16-17,$162.00,bills,misc,cash
8-24-17,$175.00,hat,misc,cash
8-24-17,$201.00,gas,car,cash
8-26-17,$210.00,gas,food,cash
8-27-17,$109.00,confetti,rent,cash
9-1-17,$1000.00,rent,rent,card
9-5-17,$245.00,antifreeze,food,card
9-10-17,$157.00,book,food,check
9-11-17,$60.00,confetti,food,cash
9-28-17,$293.00,groceries,food,cash
10-1-17,$1000.00,rent,rent,check
10-1-17,$91.00,blanket,car,cash
10-6-17,$23.00,car,gifts,smiles
10-8-17,$138.00,groceries,misc,cash
10-12-17,$79.00,hat,car,check
10-15-17,$230.00,hat,food,cash
10-23-17,$142.00,gas,car,card
10-23-17,$245.00,car,gifts,card
10-24-17,$243.00,gas,food,smiles
10-25-17,$112.00,car,gifts,cash
10-26-17,$221.00,hat,misc,smiles
10-28-17,$29.00,antifreeze,food,smiles
11-1-17,$1000.00,rent,rent,smiles
11-4-17,$297.00,hat,car,card
11-5-17,$140.00,confetti,food,card
11-10-17,$93.00,antifreeze,misc,check
11-17-17,$35.00,blanket,gifts,check
11-17-17,$23.00,bills,rent,check
11-18-17,$290.00,confetti,gifts,card
11-19-17,$226.00,car,food,smiles
11-19-17,$228.00,bills,misc,card
11-26-17,$226.00,bills,food,smiles
12-1-17,$1000.00,rent,rent,card
12-1-17,$83.00,gas,rent,card
12-4-17,$261.00,blanket,rent,smiles
12-7-17,$132.00,groceries,car,smiles
12-9-17,$89.00,bills,car,card
12-24-17,$267.00,groceries,misc,smiles
12-26-17,$69.00,blanket,gifts,cash
12-28-17,$177.00,car,food,smiles
1-1-18,$1000.00,rent,rent,check
1-1-18,$152.00,bills,misc,smiles
1-4-18,$300.00,car,car,smiles
1-7-18,$39.00,confetti,gifts,smiles
1-10-18,$22.00,book,rent,smiles
1-16-18,$275.00,car,rent,smiles
1-22-18,$68.00,confetti,misc,check
1-24-18,$158.00,blanket,food,card
2-1-18,$1000.00,rent,rent,smiles
2-1-18,$292.00,book,rent,smiles
2-1-18,$162.00,gas,misc,card
2-7-18,$51.00,antifreeze,rent,cash
2-9-18,$7.00,confetti,gifts,cash
2-13-18,$129.00,blanket,gifts,card
2-17-18,$36.00,bills,food,check
2-21-18,$58.00,confetti,rent,card
2-23-18,$197.00,bills,food,card
