Date,Amount,Change Amount,Description,Category
09-20-2020,0.00,0.00,Init,Init09-20-2020,-1000.00,-1000.00,rent for 1-1-16,spent
09-20-2020,1861.00,1861.00,work for 1-11-16,received
09-20-2020,861.00,-1000.00,rent for 2-1-16,spent
09-20-2020,2696.00,1835.00,work for 2-11-16,received
09-20-2020,1696.00,-1000.00,rent for 3-1-16,spent
09-20-2020,4158.00,2462.00,work for 3-11-16,received
09-20-2020,3158.00,-1000.00,rent for 4-1-16,spent
09-20-2020,5159.00,2001.00,work for 4-11-16,received
09-20-2020,4159.00,-1000.00,rent for 5-1-16,spent
09-20-2020,5697.00,1538.00,work for 5-11-16,received
09-20-2020,4697.00,-1000.00,rent for 6-1-16,spent
09-20-2020,7108.00,2411.00,work for 6-11-16,received
09-20-2020,6108.00,-1000.00,rent for 7-1-16,spent
09-20-2020,8848.00,2740.00,work for 7-11-16,received
09-20-2020,7848.00,-1000.00,rent for 8-1-16,spent
09-20-2020,9855.00,2007.00,work for 8-11-16,received
09-20-2020,8855.00,-1000.00,rent for 9-1-16,spent
09-20-2020,11583.00,2728.00,work for 9-11-16,received
09-20-2020,10583.00,-1000.00,rent for 10-1-16,spent
09-20-2020,13072.00,2489.00,work for 10-11-16,received
09-20-2020,12072.00,-1000.00,rent for 11-1-16,spent
09-20-2020,13811.00,1739.00,work for 11-11-16,received
09-20-2020,12811.00,-1000.00,rent for 12-1-16,spent
09-20-2020,15644.00,2833.00,work for 12-11-16,received
09-20-2020,15586.00,-58.00,bills for 12-13-16,spent
09-20-2020,15352.00,-234.00,groceries for 4-14-16,spent
09-20-2020,15279.00,-73.00,groceries for 11-25-16,spent
09-20-2020,15107.00,-172.00,groceries for 2-12-16,spent
09-20-2020,14871.00,-236.00,bills for 1-27-16,spent
09-20-2020,14773.00,-98.00,car for 10-18-16,spent
09-20-2020,14473.00,-300.00,car for 1-27-16,spent
09-20-2020,14279.00,-194.00,bills for 3-27-16,spent
09-20-2020,14150.00,-129.00,confetti for 8-28-16,spent
09-20-2020,14018.00,-132.00,bills for 7-25-16,spent
09-20-2020,13786.00,-232.00,confetti for 11-16-16,spent
09-20-2020,13638.00,-148.00,antifreeze for 12-19-16,spent
09-20-2020,13616.00,-22.00,bills for 10-24-16,spent
09-20-2020,13519.00,-97.00,groceries for 12-5-16,spent
09-20-2020,13286.00,-233.00,book for 5-20-16,spent
09-20-2020,13089.00,-197.00,blanket for 8-17-16,spent
09-20-2020,12930.00,-159.00,car for 7-19-16,spent
09-20-2020,12745.00,-185.00,antifreeze for 12-3-16,spent
09-20-2020,12618.00,-127.00,confetti for 8-23-16,spent
09-20-2020,12443.00,-175.00,antifreeze for 8-4-16,spent
09-20-2020,12269.00,-174.00,groceries for 8-2-16,spent
09-20-2020,11971.00,-298.00,book for 3-25-16,spent
09-20-2020,11894.00,-77.00,confetti for 12-14-16,spent
09-20-2020,11673.00,-221.00,confetti for 7-13-16,spent
09-20-2020,11561.00,-112.00,confetti for 7-6-16,spent
09-20-2020,11521.00,-40.00,bills for 1-7-16,spent
09-20-2020,11334.00,-187.00,bills for 3-4-16,spent
09-20-2020,11268.00,-66.00,groceries for 9-23-16,spent
09-20-2020,11023.00,-245.00,bills for 10-9-16,spent
09-20-2020,10922.00,-101.00,confetti for 9-4-16,spent
09-20-2020,10698.00,-224.00,gas for 10-20-16,spent
09-20-2020,10441.00,-257.00,groceries for 11-7-16,spent
09-20-2020,10159.00,-282.00,bills for 7-19-16,spent
09-20-2020,9897.00,-262.00,car for 3-16-16,spent
09-20-2020,9741.00,-156.00,hat for 10-6-16,spent
09-20-2020,9676.00,-65.00,gas for 8-23-16,spent
09-20-2020,9663.00,-13.00,gas for 12-28-16,spent
09-20-2020,9478.00,-185.00,antifreeze for 9-8-16,spent
09-20-2020,9249.00,-229.00,confetti for 7-6-16,spent
09-20-2020,8963.00,-286.00,groceries for 4-19-16,spent
09-20-2020,8827.00,-136.00,book for 6-13-16,spent
09-20-2020,8652.00,-175.00,hat for 1-18-16,spent
09-20-2020,8604.00,-48.00,confetti for 6-21-16,spent
09-20-2020,8384.00,-220.00,blanket for 3-7-16,spent
09-20-2020,8317.00,-67.00,hat for 11-16-16,spent
09-20-2020,8097.00,-220.00,groceries for 5-19-16,spent
09-20-2020,8043.00,-54.00,gas for 9-8-16,spent
09-20-2020,7991.00,-52.00,groceries for 8-20-16,spent
09-20-2020,7880.00,-111.00,hat for 9-13-16,spent
09-20-2020,7687.00,-193.00,book for 4-24-16,spent
09-20-2020,7447.00,-240.00,blanket for 4-5-16,spent
09-20-2020,7318.00,-129.00,confetti for 4-9-16,spent
09-20-2020,7065.00,-253.00,antifreeze for 9-8-16,spent
09-20-2020,6895.00,-170.00,hat for 7-27-16,spent
09-20-2020,6883.00,-12.00,antifreeze for 9-24-16,spent
09-20-2020,6850.00,-33.00,confetti for 8-22-16,spent
09-20-2020,6621.00,-229.00,car for 6-12-16,spent
09-20-2020,6427.00,-194.00,groceries for 2-2-16,spent
09-20-2020,6384.00,-43.00,confetti for 6-17-16,spent
09-20-2020,6149.00,-235.00,blanket for 11-11-16,spent
09-20-2020,5898.00,-251.00,hat for 2-7-16,spent
09-20-2020,5707.00,-191.00,gas for 11-23-16,spent
09-20-2020,5586.00,-121.00,groceries for 9-26-16,spent
09-20-2020,5536.00,-50.00,bills for 10-12-16,spent
09-20-2020,5366.00,-170.00,hat for 6-13-16,spent
09-20-2020,5223.00,-143.00,book for 3-11-16,spent
09-20-2020,5010.00,-213.00,confetti for 4-21-16,spent
09-20-2020,4839.00,-171.00,groceries for 10-21-16,spent
09-20-2020,4696.00,-143.00,car for 8-14-16,spent
09-20-2020,4409.00,-287.00,confetti for 11-10-16,spent
09-20-2020,4331.00,-78.00,car for 2-27-16,spent
09-20-2020,4042.00,-289.00,hat for 9-6-16,spent
09-20-2020,3817.00,-225.00,blanket for 6-2-16,spent
09-20-2020,3627.00,-190.00,bills for 12-13-16,spent
09-20-2020,3567.00,-60.00,car for 12-18-16,spent
09-20-2020,3413.00,-154.00,hat for 10-2-16,spent
09-20-2020,3188.00,-225.00,blanket for 1-23-16,spent
09-20-2020,2957.00,-231.00,blanket for 5-27-16,spent
09-20-2020,2883.00,-74.00,car for 1-7-16,spent
09-20-2020,2842.00,-41.00,confetti for 1-4-16,spent
09-20-2020,2803.00,-39.00,gas for 1-7-16,spent
09-20-2020,2741.00,-62.00,book for 8-18-16,spent
09-20-2020,2642.00,-99.00,blanket for 7-28-16,spent
09-20-2020,2629.00,-13.00,groceries for 5-10-16,spent
09-20-2020,2341.00,-288.00,hat for 4-7-16,spent
09-20-2020,2048.00,-293.00,blanket for 2-24-16,spent
09-20-2020,1878.00,-170.00,hat for 11-22-16,spent
09-20-2020,1593.00,-285.00,confetti for 1-16-16,spent
09-20-2020,1504.00,-89.00,gas for 7-12-16,spent
09-20-2020,1315.00,-189.00,book for 1-7-16,spent
09-20-2020,1606.00,291.00,work for 2-1-16,received
09-20-2020,1684.00,78.00,gift for 12-7-16,received
09-20-2020,1891.00,207.00,gift for 5-8-16,received
09-20-2020,2131.00,240.00,refund for 6-11-16,received
09-20-2020,2457.00,326.00,work for 9-28-16,received
09-20-2020,2651.00,194.00,gift for 3-13-16,received
09-20-2020,2917.00,266.00,work for 6-9-16,received
