Date,Amount,Description,Category,Method of purchase
2-1-16,$1000.00,rent,rent,cash
2-2-16,$194.00,groceries,rent,cash
2-7-16,$251.00,hat,rent,cash
2-12-16,$172.00,groceries,food,cash
2-24-16,$293.00,blanket,misc,cash
2-27-16,$78.00,car,car,cash
3-1-16,$1000.00,rent,rent,smiles
3-4-16,$187.00,bills,rent,cash
3-7-16,$220.00,blanket,food,smiles
3-11-16,$143.00,book,misc,cash
3-16-16,$262.00,car,misc,smiles
3-25-16,$298.00,book,food,cash
3-27-16,$194.00,bills,misc,card
4-1-16,$1000.00,rent,rent,check
4-5-16,$240.00,blanket,misc,check
4-7-16,$288.00,hat,gifts,card
4-9-16,$129.00,confetti,car,check
4-14-16,$234.00,groceries,food,card
4-19-16,$286.00,groceries,gifts,card
4-21-16,$213.00,confetti,gifts,card
4-24-16,$193.00,book,food,smiles
5-1-16,$1000.00,rent,rent,check
5-10-16,$13.00,groceries,gifts,smiles
5-19-16,$220.00,groceries,food,smiles
5-20-16,$233.00,book,misc,check
5-27-16,$231.00,blanket,rent,smiles
6-1-16,$1000.00,rent,rent,smiles
6-2-16,$225.00,blanket,food,cash
6-12-16,$229.00,car,gifts,cash
6-13-16,$136.00,book,car,smiles
6-13-16,$170.00,hat,food,cash
6-17-16,$43.00,confetti,car,card
6-21-16,$48.00,confetti,car,cash
7-1-16,$1000.00,rent,rent,smiles
7-6-16,$112.00,confetti,misc,cash
7-6-16,$229.00,confetti,car,smiles
7-12-16,$89.00,gas,food,check
7-13-16,$221.00,confetti,car,check
7-19-16,$159.00,car,gifts,card
7-19-16,$282.00,bills,car,cash
7-25-16,$132.00,bills,rent,smiles
7-27-16,$170.00,hat,misc,check
7-28-16,$99.00,blanket,car,check
8-1-16,$1000.00,rent,rent,cash
8-2-16,$174.00,groceries,gifts,cash
8-4-16,$175.00,antifreeze,food,smiles
8-14-16,$143.00,car,misc,smiles
8-17-16,$197.00,blanket,rent,check
8-18-16,$62.00,book,rent,cash
8-20-16,$52.00,groceries,food,check
8-22-16,$33.00,confetti,food,check
8-23-16,$127.00,confetti,rent,card
8-23-16,$65.00,gas,car,smiles
8-28-16,$129.00,confetti,gifts,smiles
9-1-16,$1000.00,rent,rent,card
9-4-16,$101.00,confetti,gifts,check
9-6-16,$289.00,hat,car,card
9-8-16,$185.00,antifreeze,misc,smiles
9-8-16,$54.00,gas,misc,check
9-8-16,$253.00,antifreeze,food,smiles
9-13-16,$111.00,hat,gifts,smiles
9-23-16,$66.00,groceries,misc,cash
9-24-16,$12.00,antifreeze,misc,card
9-26-16,$121.00,groceries,rent,card
10-1-16,$1000.00,rent,rent,card
10-2-16,$154.00,hat,car,card
10-6-16,$156.00,hat,gifts,smiles
10-9-16,$245.00,bills,rent,card
10-12-16,$50.00,bills,rent,check
10-18-16,$98.00,car,car,card
10-20-16,$224.00,gas,misc,card
10-21-16,$171.00,groceries,rent,smiles
10-24-16,$22.00,bills,food,card
11-1-16,$1000.00,rent,rent,smiles
11-7-16,$257.00,groceries,gifts,check
11-10-16,$287.00,confetti,gifts,cash
11-11-16,$235.00,blanket,rent,card
11-16-16,$232.00,confetti,car,check
11-16-16,$67.00,hat,rent,smiles
11-22-16,$170.00,hat,car,card
11-23-16,$191.00,gas,misc,card
11-25-16,$73.00,groceries,food,card
12-1-16,$1000.00,rent,rent,check
12-3-16,$185.00,antifreeze,food,smiles
12-5-16,$97.00,groceries,food,smiles
12-13-16,$58.00,bills,gifts,smiles
1-27-16,$236.00,bills,rent,check
1-27-16,$300.00,car,car,check
1-7-16,$40.00,bills,food,cash
1-7-16,$74.00,car,car,cash
1-7-16,$39.00,gas,rent,check
1-16-16,$285.00,confetti,gifts,check
1-18-16,$175.00,hat,misc,card
1-23-16,$225.00,blanket,rent,smiles
1-4-16,$41.00,confetti,rent,card
12-13-16,$190.00,bills,misc,check
12-14-16,$77.00,confetti,food,card
12-18-16,$60.00,car,food,check
12-19-16,$148.00,antifreeze,misc,cash
12-28-16,$13.00,gas,misc,check
