Date,Amount,Description,Category
1-11-16,$1861.00,work,work
1-11-16,$216.00,gift,other
2-1-16,$291.00,work,work
2-3-16,$414.00,work,other
2-11-16,$1835.00,work,work
2-14-16,$169.00,work,other
3-11-16,$2462.00,work,work
3-13-16,$194.00,gift,work
3-16-16,$202.00,work,work
4-11-16,$2001.00,work,work
4-27-16,$247.00,work,other
5-8-16,$207.00,gift,work
5-11-16,$1538.00,work,work
5-26-16,$439.00,gift,other
6-9-16,$266.00,work,other
6-11-16,$2411.00,work,work
6-11-16,$240.00,refund,other
7-1-16,$453.00,work,work
7-8-16,$283.00,refund,work
7-11-16,$2740.00,work,work
8-11-16,$2007.00,work,work
8-15-16,$276.00,work,work
8-22-16,$460.00,gift,work
9-11-16,$2728.00,work,work
9-18-16,$468.00,work,other
9-28-16,$326.00,work,other
10-11-16,$2489.00,work,work
10-18-16,$439.00,gift,other
10-22-16,$124.00,work,other
11-11-16,$1739.00,work,work
12-7-16,$78.00,gift,work
12-11-16,$2833.00,work,work
1-11-17,$2572.00,work,work
1-21-17,$480.00,gift,work
2-11-17,$1668.00,work,work
3-11-17,$2159.00,work,work
3-24-17,$468.00,gift,other
4-11-17,$1647.00,work,work
5-1-17,$377.00,refund,other
5-6-17,$239.00,gift,other
5-9-17,$97.00,work,work
5-11-17,$1602.00,work,work
6-1-17,$446.00,work,other
6-3-17,$442.00,work,work
6-10-17,$454.00,refund,other
6-11-17,$2783.00,work,work
6-12-17,$136.00,gift,work
6-20-17,$341.00,work,work
6-20-17,$174.00,gift,other
6-25-17,$434.00,gift,work
7-5-17,$149.00,work,work
7-11-17,$2379.00,work,work
7-25-17,$305.00,refund,work
8-11-17,$1714.00,work,work
8-24-17,$399.00,refund,work
9-7-17,$316.00,gift,work
9-11-17,$2534.00,work,work
9-25-17,$424.00,gift,other
10-5-17,$380.00,gift,work
10-11-17,$2208.00,work,work
10-25-17,$230.00,refund,work
10-28-17,$417.00,gift,work
11-11-17,$2618.00,work,work
12-11-17,$1767.00,work,work
1-1-18,$417.00,refund,other
1-11-18,$2082.00,work,work
2-7-18,$297.00,gift,work
2-11-18,$2846.00,work,work
2-21-18,$292.00,work,other
3-11-18,$1587.00,work,work
3-23-18,$494.00,gift,work
4-11-18,$2685.00,work,work
4-25-18,$51.00,refund,other
5-11-18,$2217.00,work,work
5-12-18,$123.00,work,work
5-13-18,$390.00,gift,other
5-26-18,$92.00,work,work
6-11-18,$1917.00,work,work
6-13-18,$491.00,gift,other
6-15-18,$455.00,refund,work
7-11-18,$2010.00,work,work
7-28-18,$361.00,work,other
8-11-18,$2847.00,work,work
8-28-18,$398.00,work,work
9-3-18,$305.00,work,work
9-11-18,$2640.00,work,work
9-12-18,$456.00,refund,work
10-11-18,$2206.00,work,work
10-18-18,$435.00,work,work
10-21-18,$90.00,refund,other
10-23-18,$354.00,refund,work
10-25-18,$89.00,refund,other
11-11-18,$2390.00,work,work
11-11-18,$367.00,gift,work
11-18-18,$198.00,work,other
12-11-18,$2358.00,work,work
1-11-19,$2126.00,work,work
2-3-19,$255.00,gift,work
2-11-19,$1853.00,work,work
2-15-19,$63.00,gift,work
2-20-19,$180.00,refund,other
2-23-19,$243.00,refund,work
2-28-19,$360.00,refund,other
3-11-19,$2856.00,work,work
3-13-19,$213.00,gift,work
4-11-19,$2866.00,work,work
4-25-19,$476.00,gift,other
4-25-19,$313.00,work,work
5-9-19,$327.00,gift,other
5-11-19,$2278.00,work,work
5-17-19,$125.00,work,work
5-19-19,$404.00,refund,work
6-11-19,$2233.00,work,work
6-13-19,$372.00,refund,other
6-18-19,$274.00,refund,work
7-2-19,$267.00,work,work
7-11-19,$2210.00,work,work
7-21-19,$309.00,refund,work
8-1-19,$363.00,work,other
8-8-19,$213.00,refund,other
8-11-19,$2454.00,work,work
9-11-19,$2116.00,work,work
9-21-19,$383.00,gift,other
9-24-19,$239.00,refund,other
10-11-19,$2638.00,work,work
11-3-19,$392.00,work,other
11-11-19,$1512.00,work,work
12-11-19,$2136.00,work,work
1-2-20,$385.00,gift,other
1-11-20,$2316.00,work,work
1-24-20,$232.00,gift,work
1-26-20,$428.00,work,other
2-11-20,$2074.00,work,work
2-13-20,$269.00,gift,work
3-11-20,$1522.00,work,work
4-11-20,$1828.00,work,work
4-21-20,$352.00,gift,work
4-22-20,$398.00,gift,work
5-7-20,$285.00,gift,other
5-9-20,$452.00,gift,other
5-11-20,$1521.00,work,work
6-1-20,$130.00,gift,work
6-3-20,$162.00,refund,work
6-5-20,$495.00,refund,work
6-11-20,$2412.00,work,work
6-15-20,$383.00,gift,other
7-11-20,$2109.00,work,work
8-11-20,$1863.00,work,work
8-19-20,$281.00,gift,other
9-11-20,$2676.00,work,work
10-4-20,$204.00,work,other
10-11-20,$1651.00,work,work
10-18-20,$460.00,gift,other
11-11-20,$2725.00,work,work
12-4-20,$126.00,work,other
12-4-20,$410.00,gift,other
12-11-20,$2950.00,work,work
12-15-20,$277.00,gift,work
12-25-20,$449.00,refund,other
