Date Recorded,Date,Amount,Description,Category,(method of purchase)
09-20-2020,1-1-16,$1000.00,rent,rent,cash
09-20-2020,1-11-16,$1861.00,work,work
09-20-2020,2-1-16,$1000.00,rent,rent,cash
09-20-2020,2-11-16,$1835.00,work,work
09-20-2020,3-1-16,$1000.00,rent,rent,smiles
09-20-2020,3-11-16,$2462.00,work,work
09-20-2020,4-1-16,$1000.00,rent,rent,check
09-20-2020,4-11-16,$2001.00,work,work
09-20-2020,5-1-16,$1000.00,rent,rent,check
09-20-2020,5-11-16,$1538.00,work,work
09-20-2020,6-1-16,$1000.00,rent,rent,smiles
09-20-2020,6-11-16,$2411.00,work,work
09-20-2020,7-1-16,$1000.00,rent,rent,smiles
09-20-2020,7-11-16,$2740.00,work,work
09-20-2020,8-1-16,$1000.00,rent,rent,cash
09-20-2020,8-11-16,$2007.00,work,work
09-20-2020,9-1-16,$1000.00,rent,rent,card
09-20-2020,9-11-16,$2728.00,work,work
09-20-2020,10-1-16,$1000.00,rent,rent,card
09-20-2020,10-11-16,$2489.00,work,work
09-20-2020,11-1-16,$1000.00,rent,rent,smiles
09-20-2020,11-11-16,$1739.00,work,work
09-20-2020,12-1-16,$1000.00,rent,rent,check
09-20-2020,12-11-16,$2833.00,work,work
09-20-2020,12-13-16,$58.00,bills,gifts,smiles
09-20-2020,4-14-16,$234.00,groceries,food,card
09-20-2020,11-25-16,$73.00,groceries,food,card
09-20-2020,2-12-16,$172.00,groceries,food,cash
09-20-2020,1-27-16,$236.00,bills,rent,check
09-20-2020,10-18-16,$98.00,car,car,card
09-20-2020,1-27-16,$300.00,car,car,check
09-20-2020,3-27-16,$194.00,bills,misc,card
09-20-2020,8-28-16,$129.00,confetti,gifts,smiles
09-20-2020,7-25-16,$132.00,bills,rent,smiles
09-20-2020,11-16-16,$232.00,confetti,car,check
09-20-2020,12-19-16,$148.00,antifreeze,misc,cash
09-20-2020,10-24-16,$22.00,bills,food,card
09-20-2020,12-5-16,$97.00,groceries,food,smiles
09-20-2020,5-20-16,$233.00,book,misc,check
09-20-2020,8-17-16,$197.00,blanket,rent,check
09-20-2020,7-19-16,$159.00,car,gifts,card
09-20-2020,12-3-16,$185.00,antifreeze,food,smiles
09-20-2020,8-23-16,$127.00,confetti,rent,card
09-20-2020,8-4-16,$175.00,antifreeze,food,smiles
09-20-2020,8-2-16,$174.00,groceries,gifts,cash
09-20-2020,3-25-16,$298.00,book,food,cash
09-20-2020,12-14-16,$77.00,confetti,food,card
09-20-2020,7-13-16,$221.00,confetti,car,check
09-20-2020,7-6-16,$112.00,confetti,misc,cash
